,Unnamed: 0,Country Name,Series,1990,1995,2000,2005,2010,2015,2020
0,0,afghanistan,government expenditure on education as % of gdp (%),0.0,0.0,0.0,0.0,3.47945,3.2558,0.0
1,1,afghanistan,"out-of-school children of primary school age, both sexes (number)",0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,afghanistan,"proportion of teachers with the minimum required qualifications in primary education, both sexes (%)",0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,afghanistan,"proportion of teachers with the minimum required qualifications in pre-primary education, both sexes (%)",0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,afghanistan,"proportion of teachers with the minimum required qualifications in lower secondary education, both sexes (%)",0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,afghanistan,"adult illiterate population, 15+ years, both sexes (number)",0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,afghanistan,all staff compensation as % of total expenditure in lower secondary public institutions (%),0.0,0.0,0.0,0.0,75.46723,78.34911,0.0
7,7,afghanistan,annual statutory teacher salaries in public institutions in usd. lower secondary. starting salary,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,afghanistan,barro-lee: percentage of population age 15+ with no education,75.04,73.21,67.85,65.73,58.38,0.0,0.0
9,9,afghanistan,barro-lee: percentage of population age 15+ with primary schooling. completed primary,3.6,5.19,7.78,8.8,12.86,0.0,0.0
10,10,afghanistan,barro-lee: percentage of population age 15-19 with secondary schooling. total (incomplete and completed secondary),6.9,17.45,21.89,25.45,28.64,0.0,0.0
11,11,afghanistan,barro-lee: percentage of population age 20-24 with no education,59.77,67.17,68.31,48.32,54.52,0.0,0.0
12,12,afghanistan,barro-lee: percentage of population age 25-29 with no education,67.39,59.77,67.17,68.31,48.32,0.0,0.0
13,13,afghanistan,barro-lee: percentage of population age 40-44 with no education,78.4,78.4,71.43,67.39,59.77,0.0,0.0
14,14,afghanistan,barro-lee: percentage of population age 25-29 with secondary schooling. completed secondary,3.17,3.04,2.46,10.55,13.21,0.0,0.0
15,15,afghanistan,capital expenditure as % of total expenditure in public institutions (%),0.0,0.0,0.0,0.0,18.31858,19.59267,0.0
16,16,afghanistan,"completion rate, lower secondary education, rural, both sexes (%)",0.0,0.0,0.0,0.0,0.0,30.7106,0.0
17,17,afghanistan,current expenditure as % of total expenditure in public institutions (%),0.0,0.0,0.0,0.0,81.68142,80.40733,0.0
18,18,afghanistan,duration of compulsory education (years),0.0,0.0,6.0,6.0,9.0,9.0,0.0
19,19,afghanistan,internet users (per 100 people),0.0,0.0,0.0,1.224148084,4.0,8.26,0.0
20,20,afghanistan,official entrance age to compulsory education (years),0.0,0.0,7.0,7.0,7.0,7.0,0.0
21,21,afghanistan,official entrance age to early childhood education (years),0.0,0.0,6.0,6.0,6.0,6.0,0.0
22,22,afghanistan,official entrance age to pre-primary education (years),6.0,6.0,6.0,6.0,6.0,6.0,0.0
23,23,afghanistan,proportion of lower secondary schools with access to internet for pedagogical purposes (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,afghanistan,proportion of lower secondary schools with access to electricity (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25,afghanistan,proportion of lower secondary schools with access to computers for pedagogical purposes (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,26,afghanistan,proportion of lower secondary schools with access to basic drinking water (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,27,afghanistan,proportion of lower secondary schools with access to adapted infrastructure and materials for students with disabilities (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,28,afghanistan,"proportion of 15-24 year-olds enrolled in vocational education, both sexes (%)",0.0,0.0,0.0,0.0,0.0,0.3281,0.0
29,29,afghanistan,primary school age children out-of-school (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,30,albania,government expenditure on education as % of gdp (%),0.0,3.81464,3.43017,3.28155,0.0,3.43797,0.0
31,31,albania,"out-of-school children of primary school age, both sexes (number)",0.0,0.0,12550.0,0.0,29727.0,3929.0,0.0
