,Unnamed: 0,Country Name,Series Name,1990,1995,2000,2005,2010,2015,2020
0,0,afghanistan,"adolescent fertility rate (births per 1,000 women ages 15-19)",162.8354,164.7084,153.951,138.4284,113.715,81.693,57.509
1,1,afghanistan,adults (ages 15+) living with hiv,500.0,890.0,1600.0,2800.0,4200.0,6600.0,9600.0
2,2,afghanistan,adults (ages 15-49) newly infected with hiv,100.0,200.0,500.0,500.0,1000.0,1000.0,1100.0
3,3,afghanistan,children with fever receiving antimalarial drugs (% of children under age 5 with fever),0.0,0.0,0.0,0.0,0.0,11.8,0.0
4,4,afghanistan,"community health workers (per 1,000 people)",0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,afghanistan,current health expenditure per capita (current us$),0.0,0.0,0.0,23.89050102,44.99053192,58.90652847,0.0
6,6,afghanistan,"death rate, crude (per 1,000 people)",18.449,14.092,12.096,9.941,8.254,7.331,7.113
7,7,afghanistan,diabetes prevalence (% of population ages 20 to 79),0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,afghanistan,diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),0.0,0.0,0.0,0.0,0.0,40.7,0.0
9,9,afghanistan,"fertility rate, total (births per woman)",7.565,7.712,7.534,6.905,6.099,5.405,4.75
10,10,afghanistan,"immunization, bcg (% of one-year-old children)",30.0,31.0,30.0,57.0,68.0,76.0,87.0
11,11,afghanistan,"immunization, dpt (% of children ages 12-23 months)",25.0,20.0,24.0,58.0,66.0,64.0,70.0
12,12,afghanistan,"immunization, hepb3 (% of one-year-old children)",0.0,0.0,0.0,0.0,66.0,64.0,70.0
13,13,afghanistan,"immunization, measles second dose (% of children by the nationally recommended age)",0.0,0.0,0.0,9.0,29.0,42.0,43.0
14,14,afghanistan,"incidence of malaria (per 1,000 population at risk)",0.0,0.0,81.969555854203,27.0790717573125,12.9804734366701,13.8818586667814,8.43681364532416
15,15,afghanistan,"incidence of tuberculosis (per 100,000 people)",0.0,0.0,190.0,189.0,189.0,189.0,189.0
16,16,afghanistan,"life expectancy at birth, total (years)",45.967,52.544,55.298,58.361,60.851,62.659,62.575
17,17,afghanistan,"maternal mortality ratio (national estimate, per 100,000 live births)",0.0,0.0,0.0,0.0,700.0,0.0,0.0
18,18,afghanistan,"mortality caused by road traffic injury (per 100,000 people)",0.0,0.0,14.7,15.2,14.4,14.4,0.0
19,19,afghanistan,"mortality from cvd, cancer, diabetes or crd between exact ages 30 and 70 (%)",0.0,0.0,41.7,40.9,37.8,35.6,0.0
20,20,afghanistan,"mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,afghanistan,"mortality rate, infant (per 1,000 live births)",120.8,103.9,90.5,77.3,64.2,53.2,45.0
22,22,afghanistan,people using at least basic drinking water services (% of population),0.0,0.0,28.17141501,36.40150061,48.28708366,61.33978081,75.09141325
23,23,afghanistan,pregnant women receiving prenatal care (%),0.0,0.0,36.9,0.0,59.6,58.6,0.0
24,24,afghanistan,prevalence of overweight (% of adults),10.4,12.1,14.2,16.6,19.3,22.3,0.0
25,25,afghanistan,prevalence of overweight (% of children under 5),0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,26,afghanistan,prevalence of undernourishment (% of population),0.0,0.0,0.0,36.1,21.2,21.5,29.8
27,27,afghanistan,"probability of dying among youth ages 20-24 years (per 1,000)",35.1,24.1,15.9,11.4,12.6,17.2,17.6
28,28,afghanistan,"probability of dying among children ages 5-9 years (per 1,000)",12.3,8.8,6.6,5.9,5.6,3.9,3.3
29,29,afghanistan,"tuberculosis death rate (per 100,000 people)",0.0,0.0,68.0,47.0,43.0,39.0,34.0
30,30,albania,"adolescent fertility rate (births per 1,000 women ages 15-19)",17.7766,19.0912,19.0372,18.611,19.8208,20.0772,19.4332
31,31,albania,adults (ages 15+) living with hiv,100.0,100.0,200.0,500.0,750.0,1100.0,1400.0
32,32,albania,adults (ages 15-49) newly infected with hiv,100.0,100.0,100.0,100.0,100.0,100.0,100.0
33,33,albania,children with fever receiving antimalarial drugs (% of children under age 5 with fever),0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,34,albania,"community health workers (per 1,000 people)",0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,35,albania,current health expenditure per capita (current us$),0.0,0.0,80.61695099,165.2653656,192.0032196,192.88513184,0.0
36,36,albania,"death rate, crude (per 1,000 people)",5.526,5.549,5.798,6.306,7.029,7.947,10.785
37,37,albania,diabetes prevalence (% of population ages 20 to 79),0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,38,albania,diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),0.0,0.0,51.0,50.0,0.0,0.0,0.0
39,39,albania,"fertility rate, total (births per woman)",2.9,2.685,2.231,1.803,1.656,1.613,1.4
40,40,albania,"immunization, bcg (% of one-year-old children)",94.0,97.0,93.0,98.0,99.0,99.0,98.0
