"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
south africa,710,308120,385988,501600,601803,743807,786554,914901
western africa,914,5051069,6292141,6386350,7451068,8211176,9425980,10558152
benin,204,234314,275696,328046,504165,541152,634923,681827
burkina faso,854,1021331,1215665,1279414,1352292,1434528,1518568,1599347
cabo verde,132,91363,106954,124823,141984,152863,171429,187558
cote divoire,384,366336,449498,539234,731962,939795,1056380,1149298
gambia,270,36280,38384,45427,61209,77440,96963,139210
ghana,288,371157,428051,495887,665731,762002,892253,1004324
guinea,324,352763,365862,377019,404677,455866,493411,550790
guineabissau,624,55406,67149,77664,82846,91546,98151,111790
liberia,430,516878,542295,248412,354792,219139,205741,233564
mali,466,647426,820564,772866,895360,994832,1228544,1303511
mauritania,478,134478,151710,107607,103107,114192,114630,130226
niger,562,149777,177067,205236,304086,335897,374993,399707
nigeria,566,446753,524535,610130,817392,996914,1306526,1670455
saint helena,654,884,2207,3715,3268,3607,4285,4885
senegal,686,370243,359061,394608,470508,547495,594507,693765
sierra leone,694,61853,457827,509098,151886,126730,139296,152486
togo,768,193827,309616,267164,405803,417178,495380,545409
asia,935,56957000,59147922,65333613,72806043,88122177,103378019,114911484
central asia,5500,5719892,6159859,6462345,6918899,7232295,7428032,7835504
kazakhstan,398,2971634,3295157,3554484,3717649,3797527,3885576,4203899
kyrgyzstan,417,522574,550022,566315,652852,726544,742841,774377
tajikistan,762,537699,555426,541183,586235,584647,585060,586851
turkmenistan,795,260005,243523,224398,231939,234635,238531,242554
uzbekistan,860,1427980,1515731,1575965,1730224,1888942,1976024,2027823
eastern asia,906,7049024,8166675,9352688,11019974,12863294,14417725,14820004
china,156,4231625,5030321,5884919,7337211,8714648,10240817,10461170
china hong kong sar,344,549125,617237,685913,752476,862070,957289,1007788
china macao sar,446,86460,90097,94517,108191,123599,133296,145192
china taiwan province of china,158,0,0,0,0,0,0,0
dem peoples republic of korea,408,39383,53797,72350,86763,96459,103898,110377
japan,392,604803,653293,708933,718466,756792,764408,808825
mongolia,496,24466,27694,30648,42354,57405,65485,82098
republic of korea,410,1513162,1694236,1875408,1974513,2252321,2152532,2204554
southeastern asia,920,7725395,9694248,12088166,14537009,18113912,20787865,23580736
brunei darussalam,96,26323,35052,45242,45314,44541,45110,45340
cambodia,116,355428,418213,459621,674436,953059,1074572,1104819
indonesia,360,1622259,1937233,2415077,2781287,3415963,4065095,4601369
lao peoples democratic republic,418,483008,547786,649287,897002,1198862,1288179,1296051
malaysia,458,560353,861208,1201135,1379305,1599061,1781038,1860037
myanmar,104,685308,911445,1224310,1736590,2492274,2842494,3711751
philippines,608,2012499,2481963,3062665,3684528,4692695,5498232,6094307
singapore,702,156444,168100,192930,235683,282421,324639,348464
thailand,764,306924,411878,531028,631678,769257,921690,1086985
timorleste,626,11261,79050,148339,94961,35037,37325,39588
viet nam,704,1505588,1842320,2158532,2376225,2630742,2909491,3392025
southern asia,5501,25384128,22910124,24435349,26428791,33850093,39053098,43394045
afghanistan,4,7679582,4347049,4750677,4116739,5269518,5400916,5853838
bangladesh,50,5450443,5423528,5441094,5492474,6319871,6831282,7401763
bhutan,64,28461,117967,120183,120319,91934,51391,51998
india,356,6619431,7153439,7928051,9588533,13221963,15885657,17869492
iran islamic republic of,364,631196,746739,831205,889502,985691,1155617,1325113
maldives,462,2192,1687,1216,2212,3543,3606,3715
nepal,524,748053,856028,977396,1289629,1712697,2270166,2599701
pakistan,586,3341086,3340157,3406434,3777830,4790584,5798210,6328400
sri lanka,144,883684,923530,979093,1151553,1454292,1656253,1960025
western asia,922,11078561,12217016,12995065,13901370,16062583,21691299,25281195
armenia,51,899678,901859,877148,900648,917043,944520,958190
azerbaijan,31,1634157,1712214,1630589,1455180,1160863,1130348,1163922
bahrain,48,12817,26014,47736,51835,52235,56721,58270
cyprus,196,174370,163275,153561,153973,163471,166585,173210
georgia,268,919438,953280,967022,885523,805539,828931,861077
iraq,368,642933,752604,828414,1340599,2554929,1675613,2077976
israel,376,279625,290365,303860,317009,333968,331326,358691
jordan,400,313621,339026,368299,440788,602099,706832,814909
kuwait,414,81583,97009,113415,129005,177816,195034,212271
lebanon,422,507722,531538,558891,608856,699704,757183,856814
oman,512,12504,13844,15623,18824,20752,22797,25099
qatar,634,12175,13302,14680,17131,20674,23574,25705
saudi arabia,682,107045,130911,153614,178744,215338,282906,299268
state of palestine,275,1812673,2274589,2767331,3258102,3539908,3773988,4022791
syrian arab republic,760,620285,661278,707070,813361,1057322,6447843,8457214
turkey,792,2512944,2771731,2847334,2577305,2708930,3073534,3411408
united arab emirates,784,79499,97928,111082,125618,155609,178324,203214
yemen,887,455492,486249,529396,628869,876383,1095240,1301166
europe,908,47730278,48636003,49727784,51336984,54711301,56577753,63273663
eastern europe,923,24779673,24168588,23820659,25554786,27578142,28822615,32194352
belarus,112,1767600,1736493,1685646,1581160,1464702,1469882,1483626
bulgaria,100,612960,649430,688682,907821,1106483,1179625,1683074
czechia,203,564746,620286,723333,752058,779438,819776,1026108
hungary,348,391583,404141,420959,466530,511199,600887,714420
poland,616,1673426,1775774,2047626,2884657,3716338,4077038,4825096
republic of moldova,498,625680,620030,602773,715496,827409,929759,1159443
romania,642,811853,976732,1138825,2105906,3363361,3420714,3987093
russian federation,643,12653331,11587959,10664764,10302948,10118680,10179999,10756697
slovakia,703,132977,191610,251533,271828,260656,347385,419651
ukraine,804,5545517,5606133,5596518,5566382,5429876,5797550,6139144
northern europe,924,6227251,6202247,6422540,6780094,7178780,7315147,7884780
channel islands,830,18726,15626,12825,14815,15699,16469,17158
denmark,208,201514,207707,217761,224462,233531,236832,257025
estonia,233,113860,129586,141821,150101,153633,189109,206631
faroe islands,234,7518,10003,12410,12484,12364,13407,12927
finland,246,250610,288655,315861,300562,291883,282223,311889
iceland,352,17597,21433,26173,28669,32454,37006,43251
ireland,372,917101,863541,820657,769942,729466,736639,734317
isle of man,833,10735,9003,7377,8484,9033,10580,12032
latvia,428,215070,228958,238641,270982,278168,369238,380010
lithuania,440,340973,342389,348564,412371,517746,556292,658057
norway,578,138289,151041,163834,174063,179971,185578,191392
sweden,752,205942,225655,256610,267953,291904,302408,327581
united kingdom,826,3789316,3708650,3860006,4145206,4432928,4379366,4732510
southern europe,925,10622826,11889956,12651345,11535218,11728125,12045253,14017111
albania,8,180204,501066,824442,966032,1117940,1142844,1250451
andorra,20,3740,4142,5575,5727,7909,8740,11132
bosnia and herzegovina,70,861760,1372526,1496691,1501036,1572925,1593430,1687639
croatia,191,425544,735213,907031,839084,820407,806242,1039526
gibraltar,292,11989,10130,8451,9643,10197,11916,13389
greece,300,1022125,1004201,982685,867619,789457,820119,1088507
holy see,336,10,26,41,110,175,310,174
italy,380,3350982,3207728,3067498,2698486,2559233,2662661,3258831
malta,470,110738,109839,104869,100245,99294,93554,102793
montenegro,499,77384,144640,183451,148013,148754,134028,132965
north macedonia,807,432070,491992,532132,458822,526151,563354,693896
portugal,620,1871869,1920865,1993793,1743009,1927397,1971655,2081419
san marino,674,1413,2456,3494,2907,2266,3688,2407
serbia,688,742547,914112,1131919,960621,936001,826891,1003962
slovenia,705,91447,108611,118659,119399,122948,136538,160197
spain,724,1439004,1362409,1290614,1114465,1087071,1269283,1489823
western europe,926,6100528,6375212,6833240,7466886,8226254,8394738,9177420
austria,40,505214,490045,478091,493349,517401,515234,600740
belgium,56,363970,374734,398864,437701,484032,515793,577463
france,250,1215837,1353297,1555391,1725216,1956818,2119266,2341908
germany,276,2929448,3045354,3235247,3442933,3696638,3630278,3855268
liechtenstein,438,3425,3018,2688,2935,3590,3536,3706
luxembourg,442,36108,37875,39762,52806,62048,69366,81757
monaco,492,4475,4784,5124,19103,26954,29317,32552
netherlands,528,716471,726856,747631,790554,854388,867093,970403
switzerland,756,325580,339249,370442,502289,624385,644855,713623
latin america and the caribbean,904,15273399,19669704,24628700,29338206,34637650,36206000,42890481
caribbean,915,4139775,5035853,5966487,6506671,7273502,8135307,9078772
anguilla,660,1832,2166,2508,2425,2273,2553,2505
antigua and barbuda,28,21382,26965,32782,36398,41347,52189,66561
aruba,533,5887,6705,7662,9482,13524,16621,21456
bahamas,44,25137,29594,34301,34715,35990,42965,53793
barbados,52,84766,89612,94998,92975,96193,101879,99611
bonaire sint eustatius and saba,535,445,540,647,753,7065,7295,8148
british virgin islands,92,3094,3368,3683,4008,4921,5118,5355
cayman islands,136,356,794,1278,1290,1404,1709,1908
cuba,192,835175,934168,1047789,1160309,1314739,1505827,1757300
curaao,531,2104,2849,3779,4618,45248,6239,7611
dominica,212,40563,44210,48275,64037,73583,72585,78191
dominican republic,214,458021,667015,889451,1014070,1184417,1454602,1608567
grenada,308,43237,54075,63791,64646,63930,69055,62204
guadeloupe,312,5765,6748,7750,8911,10779,11993,12542
haiti,332,524711,661354,802218,967894,1123190,1467042,1769671
jamaica,388,588450,718362,857865,905170,989790,1031596,1118931
martinique,474,11036,12501,14019,14340,14637,12675,12963
montserrat,500,7178,11586,16132,15810,17378,20136,24582
puerto rico,630,1200245,1405619,1600058,1640015,1731818,1715817,1850529
saint barthlemy,652,0,0,0,0,0,0,0
saint kitts and nevis,659,18618,24662,30867,33317,35795,40211,50285
saint lucia,662,21999,30672,39556,46897,50318,57939,71227
saint martin french part,663,0,0,0,0,0,0,0
saint vincent and the grenadines,670,37010,45669,53543,55611,55435,62292,55525
sint maarten dutch part,534,707,914,1186,1246,3303,1929,2191
trinidad and tobago,780,197440,251142,307795,322906,350517,368633,330519
turks and caicos islands,796,2308,1533,740,1190,2197,2454,2689
united states virgin islands,850,2309,3030,3814,3638,3711,3953,3908
central america,916,6823036,9288464,12228703,13978650,16204451,16291222,16198974
belize,84,36101,41950,48211,51883,57371,63099,52756
costa rica,188,69283,84980,105227,117618,132317,138237,150241
el salvador,222,1241849,933103,949042,1118793,1337085,1512895,1599058
guatemala,320,348189,461891,582796,736715,924898,1118115,1368431
honduras,340,156379,246575,342103,448882,587503,729855,985077
mexico,484,4395355,6949276,9562878,10817810,12415222,11923234,11185737
nicaragua,558,441488,437711,501517,555532,610211,655577,718154
panama,591,134392,132978,136929,131417,139844,150210,139520
south america,931,4310588,5345387,6433510,8852885,11159697,11779471,17612735
argentina,32,430155,481968,555542,805291,938639,943843,1076148
bolivia plurinational state of,68,224693,283540,344702,543766,779961,824008,927244
brazil,76,491359,730491,940458,1194575,1495404,1504231,1897128
chile,152,493026,499207,511997,541745,571842,618015,643800
colombia,170,1009148,1215967,1433940,1883904,2554020,2698688,3024273
ecuador,218,214008,326230,446380,986599,1152897,1130774,1127891
falkland islands malvinas,238,255,760,1262,1095,1174,1370,1518
french guiana,254,2840,3221,3640,3800,3940,4517,4595
guyana,328,233318,295292,362157,392555,439233,481258,438413
paraguay,600,297742,335845,374675,545698,765811,845591,896484
peru,604,313209,505474,694144,969002,1299095,1410199,1519635
suriname,740,177857,191535,211219,248782,258715,254612,273209
uruguay,858,237486,233993,235641,298986,338438,353225,367060
venezuela bolivarian republic of,862,185492,241864,317753,437087,560528,709140,5415337
northern america,905,2802135,2946161,3149919,3512106,3969803,4014649,4327958
bermuda,60,71681,42587,14079,14907,15313,16225,21107
canada,124,994254,1064305,1142641,1185156,1268057,1263552,1292329
greenland,304,9504,11361,13388,14618,15391,16711,17866
saint pierre and miquelon,666,483,477,484,426,390,400,433
united states of america,840,1726213,1827431,1979327,2296999,2670652,2717761,2996223
oceania,909,961547,1071295,1246836,1391418,1591168,1751422,1970205
australia and new zealand,927,689030,758234,871660,984280,1149265,1256202,1404924
australia,36,301013,341312,381836,428769,486949,518158,598765
new zealand,554,388017,416922,489824,555511,662316,738044,806159
melanesia,928,104497,123300,150371,177020,204278,229769,256021
fiji,242,90161,106488,131908,157045,183607,208568,233856
new caledonia,540,4148,4600,4941,5219,5377,5584,5839
papua new guinea,598,3107,4059,4552,4493,4231,4980,4810
solomon islands,90,2212,2542,2728,2999,3371,3886,4270
vanuatu,548,4869,5611,6242,7264,7692,6751,7246
micronesia,954,21460,29154,39034,39932,39030,41950,50998
guam,316,1375,1614,2797,2535,2209,2132,2213
kiribati,296,4053,4246,3991,4021,3565,4127,5103
marshall islands,584,1426,4154,6976,6654,6492,7625,10886
micronesia fed states of,583,7713,12138,16914,18346,19404,20633,24945
nauru,520,1419,1511,1593,1869,2130,2267,2454
northern mariana islands,580,2517,2647,2765,2725,2611,2607,2741
palau,585,2957,2844,3998,3782,2619,2559,2656
polynesia,957,146560,160607,185771,190186,198595,223501,258262
american samoa,16,2041,2638,3186,2588,2157,1961,1832
cook islands,184,17485,17009,19478,19580,20556,21555,21106
french polynesia,258,3132,3738,4300,2717,1550,1978,2157
niue,570,5858,5571,5749,5291,5347,5348,5186
samoa,882,74861,81952,94541,99230,104820,116855,135732
tokelau,772,1684,1810,2061,2090,2168,2171,2112
tonga,776,32665,38208,46444,48337,51521,59203,74550
tuvalu,798,2350,2738,2611,2917,3011,3203,3670
wallis and futuna islands,876,6484,6943,7401,7436,7465,11227,11917
other,2003,8640334,7477497,7063730,7820665,8757236,10918842,12657151
