"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
world,900,2646336,2852071,3050060,3245422,3449120,3659101,3864825
subsaharan africa,947,246554,281960,321660,366787,419978,480740,548210
northern africa and western asia,1833,142402,159554,175940,192852,212640,234720,255690
central and southern asia,921,599453,664718,730389,795644,858898,918830,977111
eastern and southeastern asia,1832,904696,960578,1007732,1046986,1083816,1122841,1157302
latin america and the caribbean,1830,223232,244036,264064,282556,299936,316797,332334
oceania excluding australia and new zealand,1835,3399,3788,4213,4606,5084,5552,6061
australia and new zealand,927,10231,10906,11483,12218,13300,14353,15253
europe and northern america,1829,516370,526532,534579,543773,555468,565268,572864
developed regions,901,589749,601614,610962,621431,634435,645069,652841
less developed regions,902,2056587,2250458,2439098,2623991,2814685,3014031,3211984
less developed regions excluding least developed countries,934,1802879,1960350,2109687,2250914,2394502,2540824,2680562
less developed regions excluding china,948,1470626,1632549,1796348,1961718,2133785,2313734,2494530
least developed countries,941,253708,290108,329412,373077,420183,473207,531422
landlocked developing countries lldc,1636,134210,150345,168354,188755,211963,239153,268731
small island developing states sids,1637,24913,26916,28830,30521,32472,34222,35724
highincome countries,1503,523349,540593,557321,574497,593728,609720,621510
middleincome countries,1517,1968863,2133749,2289252,2437064,2586914,2745128,2897722
uppermiddleincome countries,1502,1103761,1173915,1233365,1285925,1338308,1396557,1448679
lowermiddleincome countries,1501,865102,959834,1055887,1151139,1248606,1348571,1449042
lowincome countries,1500,153177,176688,202340,232587,267120,302835,344086
africa,903,315972,359673,406821,459506,521051,592158,670720
eastern africa,910,99291,112995,129985,149145,171352,196543,224366
burundi,108,2774,3062,3247,3736,4388,5129,5991
comoros,174,205,237,270,304,342,385,431
djibouti,262,293,313,357,390,393,431,469
eritrea,232,1129,1107,1151,1416,1586,1668,1769
ethiopia,231,24007,28607,33205,38272,43912,50427,57447
kenya,404,11905,13958,16098,18453,21162,24096,27053
madagascar,450,5808,6760,7916,9206,10615,12152,13876
malawi,454,4742,4962,5645,6411,7385,8495,9696
mauritius,480,529,566,597,616,629,636,644
mayotte,175,46,61,74,90,107,122,139
mozambique,508,6782,8102,9243,10646,12180,13950,16067
runion,638,312,345,377,403,428,445,462
rwanda,646,3694,2998,4058,4515,5118,5786,6585
seychelles,690,35,38,41,44,44,46,48
somalia,706,3595,3735,4429,5220,6028,6914,7969
south sudan,728,2763,2572,3112,3776,4756,5355,5591
uganda,800,8736,10328,12007,14046,16513,19450,23194
united republic of tanzania,834,12663,14897,16838,19312,22227,25787,29883
zambia,894,4031,4579,5252,5995,6887,8022,9281
zimbabwe,716,5241,5770,6067,6293,6649,7246,7771
middle africa,911,35752,42217,48387,56316,66092,77323,89973
angola,24,5912,6985,8240,9794,11807,14093,16605
cameroon,120,5924,6832,7792,8896,10187,11657,13269
central african republic,140,1424,1634,1845,2043,2215,2267,2436
chad,148,3006,3527,4197,5065,5990,7069,8226
democratic republic of the congo,178,1198,1375,1584,1827,2147,2434,2761
democratic republic of the congo,180,17533,21003,23747,27564,32422,38225,44851
equatorial guinea,226,211,245,292,352,430,523,623
gabon,266,484,550,618,695,802,956,1093
sao tome and principe,678,60,67,72,80,90,100,109
northern africa,912,69419,77713,85161,92719,101073,111418,122510
algeria,12,12723,14194,15311,16384,17816,19664,21697
egypt,818,27928,30945,34181,37426,40955,45725,50632
libya,434,2098,2357,2577,2809,3033,3170,3403
morocco,504,12432,13567,14525,15410,16397,17493,18594
sudan,729,10044,12010,13598,15434,17313,19478,21942
tunisia,788,4091,4517,4819,5048,5332,5638,5958
western sahara,732,103,123,150,207,227,250,285
southern africa,913,21288,24046,26151,27774,29646,31962,34290
botswana,72,671,763,848,924,1015,1100,1213
eswatini,748,433,485,522,541,563,572,590
lesotho,426,926,976,1056,1032,1026,1047,1085
namibia,516,743,843,929,1003,1095,1194,1309
south africa,710,18515,20980,22796,24273,25947,28049,30093
western africa,914,90223,102700,117138,133553,152888,174911,199581
benin,204,2555,3011,3483,4027,4630,5306,6069
burkina faso,854,4505,5147,5906,6800,7868,9092,10459
cabo verde,132,178,201,222,238,247,262,277
cote divoire,384,5717,6831,7976,8975,10106,11479,13078
gambia,270,479,564,661,777,903,1051,1218
ghana,288,7335,8433,9548,10795,12246,13744,15323
guinea,324,3303,3786,4307,4766,5334,5957,6780
guineabissau,624,504,562,620,696,785,891,1005
liberia,430,1044,1028,1428,1609,1943,2229,2515
mali,466,4279,4845,5518,6417,7532,8719,10106
mauritania,478,1024,1167,1322,1516,1747,2019,2315
niger,562,4102,4818,5718,6841,8237,9972,12036
nigeria,566,47316,53603,60635,68744,78342,89417,101670
saint helena,654,0,0,0,0,0,0,0
senegal,686,3780,4380,4984,5673,6506,7489,8573
sierra leone,694,2187,2174,2311,2841,3223,3598,3996
togo,768,1913,2147,2493,2835,3236,3685,4159
asia,935,1577131,1707138,1828900,1942763,2054281,2164973,2267593
central asia,5500,25506,26963,28082,29632,31787,34611,37527
kazakhstan,398,8432,8166,7746,7984,8397,9064,9664
kyrgyzstan,417,2228,2314,2488,2560,2743,3011,3297
tajikistan,762,2665,2889,3103,3376,3730,4189,4732
turkmenistan,795,1874,2136,2293,2416,2585,2825,3062
uzbekistan,860,10307,11458,12453,13297,14334,15523,16772
eastern asia,906,682053,717011,744211,765487,785214,805489,822614
china,156,573024,604234,628363,647290,665397,684340,701076
china hong kong sar,344,2818,3032,3357,3517,3690,3853,4057
china macao sar,446,174,199,223,253,280,313,337
china taiwan province of china,158,9945,10444,10808,11212,11533,11791,11982
dem peoples republic of korea,408,10434,11204,11751,12234,12554,12870,13170
japan,392,63148,64176,64900,65441,65668,65448,64723
mongolia,496,1106,1160,1202,1270,1371,1516,1663
republic of korea,410,21404,22563,23607,24270,24721,25357,25603
southeastern asia,920,222643,243567,263521,281499,298603,317352,334688
brunei darussalam,96,122,142,164,179,188,199,210
cambodia,116,4641,5483,6248,6831,7340,7951,8557
indonesia,360,90317,98424,105660,112697,120014,128250,135806
lao peoples democratic republic,418,2129,2430,2674,2906,3150,3360,3624
malaysia,458,8858,10059,11376,12523,13658,14686,15735
myanmar,104,21211,22550,24090,25278,26202,27289,28190
philippines,608,30627,34583,38711,42940,46569,50724,54552
singapore,702,1497,1736,1963,2110,2456,2666,2788
