Country Name,Country Code,Series Name,1990,1995,2000,2005,2010,2015,2020,cod
Afghanistan,AFG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",162.8354,164.7084,153.951,138.4284,113.715,81.693,57.509,1
Afghanistan,AFG,Adults (ages 15+) living with HIV,500.0,890.0,1600.0,2800.0,4200.0,6600.0,9600.0,1
Afghanistan,AFG,Adults (ages 15-49) newly infected with HIV,100.0,200.0,500.0,500.0,1000.0,1000.0,1100.0,1
Afghanistan,AFG,Children with fever receiving antimalarial drugs (% of children under age 5 with fever),0.0,0.0,0.0,0.0,0.0,11.8,0.0,1
Afghanistan,AFG,"Community health workers (per 1,000 people)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Afghanistan,AFG,Current health expenditure per capita (current US$),0.0,0.0,0.0,23.89050102,44.99053192,58.90652847,0.0,1
Afghanistan,AFG,"Death rate, crude (per 1,000 people)",18.449,14.092,12.096,9.941,8.254,7.331,7.113,1
Afghanistan,AFG,Diabetes prevalence (% of population ages 20 to 79),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Afghanistan,AFG,Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),0.0,0.0,0.0,0.0,0.0,40.7,0.0,1
Afghanistan,AFG,"Fertility rate, total (births per woman)",7.565,7.712,7.534,6.905,6.099,5.405,4.75,1
Afghanistan,AFG,"Immunization, BCG (% of one-year-old children)",30.0,31.0,30.0,57.0,68.0,76.0,87.0,1
Afghanistan,AFG,"Immunization, DPT (% of children ages 12-23 months)",25.0,20.0,24.0,58.0,66.0,64.0,70.0,1
Afghanistan,AFG,"Immunization, HepB3 (% of one-year-old children)",0.0,0.0,0.0,0.0,66.0,64.0,70.0,1
Afghanistan,AFG,"Immunization, measles second dose (% of children by the nationally recommended age)",0.0,0.0,0.0,9.0,29.0,42.0,43.0,1
Afghanistan,AFG,"Incidence of malaria (per 1,000 population at risk)",0.0,0.0,81.969555854203,27.0790717573125,12.9804734366701,13.8818586667814,8.43681364532416,1
Afghanistan,AFG,"Incidence of tuberculosis (per 100,000 people)",0.0,0.0,190.0,189.0,189.0,189.0,189.0,1
Afghanistan,AFG,"Life expectancy at birth, total (years)",45.967,52.544,55.298,58.361,60.851,62.659,62.575,1
Afghanistan,AFG,"Maternal mortality ratio (national estimate, per 100,000 live births)",0.0,0.0,0.0,0.0,700.0,0.0,0.0,1
Afghanistan,AFG,"Mortality caused by road traffic injury (per 100,000 people)",0.0,0.0,14.7,15.2,14.4,14.4,0.0,1
Afghanistan,AFG,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0.0,0.0,41.7,40.9,37.8,35.6,0.0,1
Afghanistan,AFG,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Afghanistan,AFG,"Mortality rate, infant (per 1,000 live births)",120.8,103.9,90.5,77.3,64.2,53.2,45.0,1
Afghanistan,AFG,People using at least basic drinking water services (% of population),0.0,0.0,28.17141501,36.40150061,48.28708366,61.33978081,75.09141325,1
Afghanistan,AFG,Pregnant women receiving prenatal care (%),0.0,0.0,36.9,0.0,59.6,58.6,0.0,1
Afghanistan,AFG,Prevalence of overweight (% of adults),10.4,12.1,14.2,16.6,19.3,22.3,0.0,1
Afghanistan,AFG,Prevalence of overweight (% of children under 5),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Afghanistan,AFG,Prevalence of undernourishment (% of population),0.0,0.0,0.0,36.1,21.2,21.5,29.8,1
Afghanistan,AFG,"Probability of dying among youth ages 20-24 years (per 1,000)",35.1,24.1,15.9,11.4,12.6,17.2,17.6,1
Afghanistan,AFG,"Probability of dying among children ages 5-9 years (per 1,000)",12.3,8.8,6.6,5.9,5.6,3.9,3.3,1
Afghanistan,AFG,"Tuberculosis death rate (per 100,000 people)",0.0,0.0,68.0,47.0,43.0,39.0,34.0,1
Albania,ALB,"Adolescent fertility rate (births per 1,000 women ages 15-19)",17.7766,19.0912,19.0372,18.611,19.8208,20.0772,19.4332,2
Albania,ALB,Adults (ages 15+) living with HIV,100.0,100.0,200.0,500.0,750.0,1100.0,1400.0,2
Albania,ALB,Adults (ages 15-49) newly infected with HIV,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2
Albania,ALB,Children with fever receiving antimalarial drugs (% of children under age 5 with fever),0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Albania,ALB,"Community health workers (per 1,000 people)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Albania,ALB,Current health expenditure per capita (current US$),0.0,0.0,80.61695099,165.2653656,192.0032196,192.88513184,0.0,2
Albania,ALB,"Death rate, crude (per 1,000 people)",5.526,5.549,5.798,6.306,7.029,7.947,10.785,2
Albania,ALB,Diabetes prevalence (% of population ages 20 to 79),0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Albania,ALB,Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),0.0,0.0,51.0,50.0,0.0,0.0,0.0,2
Albania,ALB,"Fertility rate, total (births per woman)",2.9,2.685,2.231,1.803,1.656,1.613,1.4,2
Albania,ALB,"Immunization, BCG (% of one-year-old children)",94.0,97.0,93.0,98.0,99.0,99.0,98.0,2
Albania,ALB,"Immunization, DPT (% of children ages 12-23 months)",94.0,97.0,97.0,98.0,99.0,99.0,98.0,2
Albania,ALB,"Immunization, HepB3 (% of one-year-old children)",0.0,88.0,96.0,98.0,99.0,99.0,98.0,2
Albania,ALB,"Immunization, measles second dose (% of children by the nationally recommended age)",0.0,0.0,0.0,97.0,98.0,98.0,94.0,2
Albania,ALB,"Incidence of malaria (per 1,000 population at risk)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Albania,ALB,"Incidence of tuberculosis (per 100,000 people)",0.0,0.0,22.0,19.0,17.0,17.0,16.0,2
Albania,ALB,"Life expectancy at birth, total (years)",73.144,74.362,75.404,76.621,77.936,78.644,76.989,2
Albania,ALB,"Maternal mortality ratio (national estimate, per 100,000 live births)",0.0,13.0,16.0,15.0,0.0,0.0,0.0,2
Albania,ALB,"Mortality caused by road traffic injury (per 100,000 people)",0.0,0.0,14.3,14.9,14.1,13.8,0.0,2
Albania,ALB,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0.0,0.0,18.7,20.3,19.5,13.6,0.0,2
Albania,ALB,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Albania,ALB,"Mortality rate, infant (per 1,000 live births)",35.5,29.7,24.1,17.8,11.8,8.5,8.8,2
Albania,ALB,People using at least basic drinking water services (% of population),0.0,0.0,86.75447063,89.02118831,91.37947821,93.39432534,95.06803883,2
Albania,ALB,Pregnant women receiving prenatal care (%),0.0,0.0,95.3,97.1,0.0,0.0,0.0,2
Albania,ALB,Prevalence of overweight (% of adults),40.5,43.1,46.0,49.5,53.3,57.0,0.0,2
Albania,ALB,Prevalence of overweight (% of children under 5),0.0,0.0,30.1,24.8,0.0,0.0,0.0,2
Albania,ALB,Prevalence of undernourishment (% of population),0.0,0.0,0.0,8.9,5.8,4.9,3.9,2
Albania,ALB,"Probability of dying among youth ages 20-24 years (per 1,000)",4.8,6.0,5.3,3.8,3.3,2.4,1.7,2
Albania,ALB,"Probability of dying among children ages 5-9 years (per 1,000)",3.7,2.7,2.2,1.8,1.4,1.1,0.9,2
Albania,ALB,"Tuberculosis death rate (per 100,000 people)",0.0,0.0,0.73,0.39,0.29,0.29,0.32,2
Algeria,DZA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",27.8012,18.6414,11.7556,9.6842,10.8084,10.665,9.3594,3
Algeria,DZA,Adults (ages 15+) living with HIV,500.0,1000.0,2100.0,3700.0,5800.0,11000.0,18000.0,3
Algeria,DZA,Adults (ages 15-49) newly infected with HIV,100.0,200.0,500.0,500.0,1000.0,1500.0,1600.0,3
Algeria,DZA,Children with fever receiving antimalarial drugs (% of children under age 5 with fever),0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Algeria,DZA,"Community health workers (per 1,000 people)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Algeria,DZA,Current health expenditure per capita (current US$),0.0,0.0,61.58218002,100.71382904,229.28945923,291.55352783,0.0,3
Algeria,DZA,"Death rate, crude (per 1,000 people)",5.731,5.69,5.037,4.943,4.754,4.437,5.398,3
Algeria,DZA,Diabetes prevalence (% of population ages 20 to 79),0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Algeria,DZA,Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Algeria,DZA,"Fertility rate, total (births per woman)",4.556,3.456,2.566,2.555,2.843,3.041,2.942,3
Algeria,DZA,"Immunization, BCG (% of one-year-old children)",99.0,93.0,97.0,98.0,99.0,99.0,99.0,3
Algeria,DZA,"Immunization, DPT (% of children ages 12-23 months)",89.0,88.0,86.0,88.0,95.0,95.0,91.0,3
Algeria,DZA,"Immunization, HepB3 (% of one-year-old children)",0.0,0.0,0.0,83.0,95.0,95.0,91.0,3
Algeria,DZA,"Immunization, measles second dose (% of children by the nationally recommended age)",0.0,0.0,78.0,94.0,95.0,99.0,77.0,3
Algeria,DZA,"Incidence of malaria (per 1,000 population at risk)",0.0,0.0,0.0186462698411393,0.000513554236976521,0.000473190224836335,0.0,0.0,3
Algeria,DZA,"Incidence of tuberculosis (per 100,000 people)",0.0,0.0,75.0,80.0,78.0,75.0,58.0,3
Algeria,DZA,"Life expectancy at birth, total (years)",67.416,67.454,70.478,72.061,73.808,75.622,74.453,3
Algeria,DZA,"Maternal mortality ratio (national estimate, per 100,000 live births)",0.0,0.0,204.0,0.0,0.0,0.0,0.0,3
Algeria,DZA,"Mortality caused by road traffic injury (per 100,000 people)",0.0,0.0,22.5,22.1,22.3,21.2,0.0,3
Algeria,DZA,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0.0,0.0,17.6,16.6,15.2,14.3,0.0,3
Algeria,DZA,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Algeria,DZA,"Mortality rate, infant (per 1,000 live births)",41.5,36.9,33.9,28.8,23.6,21.6,19.5,3
Algeria,DZA,People using at least basic drinking water services (% of population),0.0,0.0,89.84882827,91.12824941,92.29597417,93.40956153,94.43732996,3
Algeria,DZA,Pregnant women receiving prenatal care (%),0.0,0.0,79.0,0.0,0.0,0.0,0.0,3
Algeria,DZA,Prevalence of overweight (% of adults),41.4,45.4,49.5,53.5,57.4,61.3,0.0,3
Algeria,DZA,Prevalence of overweight (% of children under 5),0.0,13.2,14.7,0.0,0.0,0.0,0.0,3
Algeria,DZA,Prevalence of undernourishment (% of population),0.0,0.0,0.0,6.7,4.3,2.8,2.5,3
Algeria,DZA,"Probability of dying among youth ages 20-24 years (per 1,000)",5.9,6.1,5.2,4.0,3.5,3.5,3.2,3
Algeria,DZA,"Probability of dying among children ages 5-9 years (per 1,000)",5.3,4.4,3.6,2.8,2.3,2.0,1.6,3
Algeria,DZA,"Tuberculosis death rate (per 100,000 people)",0.0,0.0,8.2,8.8,8.5,8.1,9.0,3
American samoa,ASM,"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
American samoa,ASM,Adults (ages 15+) living with HIV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
American samoa,ASM,Adults (ages 15-49) newly infected with HIV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
American samoa,ASM,Children with fever receiving antimalarial drugs (% of children under age 5 with fever),0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
American samoa,ASM,"Community health workers (per 1,000 people)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
American samoa,ASM,Current health expenditure per capita (current US$),0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
American samoa,ASM,"Death rate, crude (per 1,000 people)",0.0,0.0,0.0,0.0,0.0,0.0,5.6,4
American samoa,ASM,Diabetes prevalence (% of population ages 20 to 79),0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
American samoa,ASM,Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
American samoa,ASM,"Fertility rate, total (births per woman)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
