"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
   Togo,768,84844,101583,137968,204219,255564,277384,279936
   Kazakhstan,398,3619200,3251968,2874194,3103027,3334937,3546060,3732073
   Kyrgyzstan,417,623083,518338,389824,309399,232065,204382,199011
   Tajikistan,762,428900,348347,299499,280466,279808,275101,276031
   Turkmenistan,795,306500,273565,219067,213053,197979,196376,194920
   Uzbekistan,860,1653000,1512577,1406498,1329932,1220149,1170873,1162007
   China*,156,376361,442198,508034,678947,849861,978046,1039675
"   China, Hong Kong SAR*",344,2218473,2443798,2669122,2721235,2779950,2841113,2962492
"   China, Macao SAR*",446,205047,224929,240791,279308,318506,376066,403490
   Dem. People's Republic of Korea,408,34103,35143,36183,40097,44010,48458,49549
   Japan,392,1075317,1362371,1686444,2011555,2134151,2232189,2770996
   Mongolia,496,6718,7424,8206,11477,16062,19886,21345
   Republic of Korea,410,43247,123886,244224,486065,919987,1370905,1728182
   Brunei Darussalam,96,73200,84748,96296,98441,100587,102733,111959
   Cambodia,116,38375,92230,146085,114096,82028,73962,79341
   Indonesia,360,465612,378960,292307,289310,307487,338124,355505
   Lao People's Democratic Republic,418,22866,23526,21948,20371,32955,45538,48731
   Malaysia*,458,695920,937368,1463598,1918504,2417395,3280681,3476560
   Myanmar,104,133545,113663,98011,83025,76414,73309,76446
   Philippines,608,154071,207345,318095,257468,208599,211862,225525
   Singapore,702,727262,991492,1351691,1710594,2164794,2483405,2523648
   Thailand,764,528693,809720,1257821,2195610,3234381,3470220,3632496
   Timor-Leste,626,8954,9743,10602,11286,11540,8520,8399
   Viet Nam,704,28118,51262,56754,51768,61756,72793,76767
   Afghanistan,4,57686,71522,75917,87314,102276,339432,144098
   Bangladesh,50,881617,934735,987853,1062270,1345546,1422179,2115408
   Bhutan,64,23807,27972,32137,40279,48420,51106,53612
   India,356,7594801,6952238,6411331,5936740,5574018,5210847,4878704
   Iran (Islamic Republic of),364,4291601,2937668,2476469,2552206,2722397,2729939,2797235
   Maldives,462,8689,18510,27092,45045,54659,64273,70079
   Nepal,524,429974,690225,717900,680729,581889,509471,487564
   Pakistan,586,6208204,3669308,4181912,3174558,3943681,3506520,3276580
   Sri Lanka,144,41561,40841,40132,39526,38959,39706,40254
   Armenia,51,658789,693999,657900,469189,211147,191199,190349
   Azerbaijan*,31,360600,344070,327540,301834,276901,264359,252228
   Bahrain,48,173212,205979,239361,404018,666406,722487,936094
   Cyprus*,196,43805,61941,80076,122849,188472,176693,190366
   Georgia*,268,304470,152235,76117,71296,73078,76685,79368
   Iraq,368,83638,199460,210525,134863,120466,359352,365766
   Israel,376,1632704,1792185,1851309,1889503,1956190,2011727,1953575
   Jordan,400,1146349,1537097,1927845,2198740,2786853,3166961,3457691
   Kuwait,414,1074391,921954,1127640,1333530,1874812,2866136,3110159
   Lebanon,422,523693,608303,692913,742243,793191,1916259,1712762
   Oman,512,304000,539643,623608,666164,816234,1856226,2372836
   Qatar,634,309753,361673,359697,646026,1456413,1687640,2226192
   Saudi Arabia,682,4998445,5122702,5263387,6501819,8429956,10771366,13454842
   State of Palestine*,275,288332,281767,275202,274520,273840,273163,272784
   Syrian Arab Republic,760,714140,830610,834916,882398,1783595,835716,868711
   Turkey,792,1163686,1216173,1280963,1324108,1373749,4346197,6052652
   United Arab Emirates,784,1306574,1824118,2447010,3281115,7316697,7995126,8716332
   Yemen,887,118863,136515,144940,171871,288394,379882,387113
   Belarus,112,1248977,1186282,1123586,1106982,1090378,1082905,1067090
   Bulgaria,100,21510,32435,43360,61074,76287,123803,184363
   Czechia,203,110394,165592,220789,322540,398493,416454,540921
   Hungary,348,347510,322234,296957,366787,436616,475508,584567
   Poland,616,1127771,964725,825251,722509,642417,611855,817254
   Republic of Moldova*,498,544162,367231,247828,171122,129488,106374,104438
   Romania,642,135825,135037,134254,145162,177211,281048,705310
   Russian Federation,643,11524948,11928927,11900297,11667588,11194710,11643276,11636911
   Slovakia,703,41295,69323,116376,130491,146319,177624,197161
   Ukraine*,804,6892920,6172338,5527087,5050302,4818767,4915142,4997387
   Channel Islands*,830,61660,60519,64301,70941,77581,82307,84087
   Denmark*,208,235189,303108,371026,440383,500772,595876,717574
   Estonia,233,381997,315755,249512,233701,217890,194664,199277
   Faroe Islands*,234,4285,2900,3593,4583,5096,5485,6812
   Finland*,246,63255,99729,136203,192169,228481,314856,386052
   Iceland,352,9584,12738,15892,25492,35091,39072,65424
   Ireland,372,227961,226892,350552,589046,730542,759256,871256
   Isle of Man*,833,34769,36886,39002,41475,43447,42238,43040
   Latvia,428,646007,538093,430178,376725,313786,265418,239422
   Lithuania,440,349258,273587,214311,201209,160772,136021,145184
   Norway*,578,192587,233302,292440,361144,524601,746375,852238
   Sweden,752,788767,936022,1003798,1125790,1337214,1602522,2003908
   United Kingdom*,826,3650286,4155293,4730165,5926156,7119664,8406996,9359587
   Albania,8,66013,71354,76695,64739,52784,52031,48810
   Andorra,20,38891,44206,42147,50298,52053,42264,45574
   Bosnia and Herzegovina,70,56000,69476,82952,47287,38945,38597,36042
   Croatia,191,475438,674085,585298,579273,573248,561093,528056
   Gibraltar*,292,8709,8381,8054,9211,10369,11065,11190
   Greece,300,618139,857850,1111665,1190707,1321149,1242924,1340456
   Holy See*,336,762,778,790,798,783,790,809
   Italy,380,1428219,1774954,2121688,3954790,5787893,5805328,6386998
   Malta,470,15077,17740,21521,24560,33008,52642,114760
   Montenegro,499,0,0,0,0,78512,71719,70999
   North Macedonia,807,95142,109343,125665,127667,129701,130730,131311
   Portugal,620,435782,532822,651472,771184,762825,864814,1001963
   San Marino,674,3310,3659,4045,4218,4880,5195,5543
   Serbia*,688,99269,870980,977873,854848,826275,807441,823011
   Slovenia,705,178077,174419,214508,217218,253786,237616,277964
   Spain*,724,821605,1020067,1657285,4107226,6280062,5891208,6842202
   Austria,40,793239,894893,996547,1127164,1274901,1483123,1738183
   Belgium,56,1280583,1288003,1268368,1248733,1503806,1783488,2005479
   France*,250,5897267,6087993,6278718,6737600,7309986,7878338,8524876
   Germany,276,5936181,7464406,8992631,9402447,9812263,10220418,15762457
   Liechtenstein,438,10906,13311,15483,18898,22342,23799,25877
   Luxembourg,442,113795,126106,139750,150618,163142,248888,298062
   Monaco,492,20359,21060,21787,21312,21132,25983,26601
   Netherlands*,528,1182263,1346164,1556337,1736127,1832510,1996318,2358333
   Switzerland,756,1392282,1478829,1570756,1805437,2075182,2258196,2491249
   Anguilla*,660,2570,3317,4063,4684,5103,5471,5715
   Antigua and Barbuda,28,12029,17550,23071,24741,26412,28082,29386
   Aruba*,533,14444,22274,30104,32540,34328,36114,53593
   Bahamas,44,26855,31654,36454,45531,54745,59241,63583
   Barbados,52,24024,26224,28424,30624,32825,34475,34869
"   Bonaire, Sint Eustatius and Saba*",535,13010,15101,14387,14399,20941,24571,26221
   British Virgin Islands*,92,8035,10046,12958,15016,17076,19535,22164
   Cayman Islands*,136,9315,12666,19176,20679,24062,26193,29242
   Cuba,192,34555,26187,18545,11693,7373,4649,3024
   Curaçao*,531,0,0,0,0,34630,37611,57210
   Dominica,212,2519,3121,3723,4744,8110,8093,8284
   Dominican Republic,214,291151,323381,355611,375417,395479,549289,603794
   Grenada,308,4263,5544,6825,6902,6980,7057,7213
   Guadeloupe*,312,65944,74566,83188,89065,94942,90956,90206
   Haiti,332,19084,18129,17222,16360,17182,18047,18884
   Jamaica,388,20475,22713,24952,24284,23677,23165,23629
   Martinique*,474,38705,46599,54492,57034,59575,69174,68624
   Montserrat*,500,2013,1612,1211,1244,1291,1351,1379
   Puerto Rico*,630,321909,338067,355038,352144,304969,280494,247132
   Saint Kitts and Nevis,659,3210,4248,5871,6682,7245,7443,7725
   Saint Lucia,662,5305,7155,9871,9839,9050,8673,8338
   Saint Vincent and the Grenadines,670,3970,4135,4307,4436,4569,4637,4738
   Sint Maarten (Dutch part)*,534,0,0,0,13099,26203,27295,28845
   Trinidad and Tobago,780,50666,45994,41753,44812,48226,50021,78849
   Turks and Caicos Islands*,796,5062,7039,9015,13115,17216,22723,25748
   United States Virgin Islands*,850,51970,54241,56611,56647,56684,56721,56753
   Belize,84,30404,33446,36488,41438,46390,54615,62043
   Costa Rica,188,417628,364287,310946,358398,405779,411697,520729
   El Salvador,222,47360,39537,31713,36029,40342,42059,42767
   Guatemala,320,264257,156188,48119,57214,66386,74852,84311
   Honduras,340,270423,149442,28461,27934,27288,38330,39195
   Mexico,484,695674,458549,538051,712648,969710,1013691,1197624
   Nicaragua,558,41421,26619,30389,34919,37345,40261,42167
   Panama,591,62744,70848,83410,109461,157788,184710,313165
   Argentina,32,1649919,1595069,1540219,1674163,1805957,2086301,2281728
   Bolivia (Plurinational State of),68,73758,83598,92658,107745,122846,143008,164121
   Brazil,76,798517,741557,684596,638582,592640,710304,1079708
   Chile,152,107501,142417,177332,276360,375388,639724,1645015
   Colombia,170,104277,106943,109609,106523,130309,159407,1905393
   Ecuador,218,78663,115093,151523,189893,375253,387513,784787
   Falkland Islands (Malvinas)*,238,855,868,1067,1166,1436,1571,1957
   French Guiana*,254,63612,70131,76649,86468,96288,106108,119249
   Guyana,328,4095,6352,8610,10868,8182,8661,31169
   Paraguay,600,195884,186570,176608,168243,160299,156462,169567
   Peru,604,56688,56732,66300,77877,104706,154774,1224519
   Suriname,740,18083,22320,27506,33662,39713,43127,47801
   Uruguay,858,98116,93428,88874,82317,76303,78799,108267
   Venezuela (Bolivarian Republic of),862,1025009,1019996,1013738,1076474,1347347,1404448,1324193
   Bermuda*,60,15683,16676,17684,18108,18547,19212,19739
   Canada,124,4333318,4864778,5511914,6078985,6761226,7428657,8049323
   Greenland*,304,9282,7121,6601,6556,6091,6009,5899
   Saint Pierre and Miquelon*,666,1099,1320,1458,1147,1017,986,998
   United States of America*,840,23251026,28451053,34814053,39258293,44183643,48178877,50632836
   Australia*,36,3955213,4153330,4386250,4878030,5882980,6729730,7685860
   New Zealand*,554,518047,588617,678813,839952,947443,1039736,1381724
   Fiji,242,13283,13001,12719,12434,13357,13751,14087
   New Caledonia*,540,37673,43662,49651,55405,61158,68881,73141
   Papua New Guinea,598,33710,33526,26304,29971,30425,30940,31068
   Solomon Islands,90,4226,4178,3981,3271,2760,2585,2520
   Vanuatu,548,2308,2461,2626,2800,2991,3186,3257
   Guam*,316,69755,71912,74070,74743,75416,76089,80472
   Kiribati,296,2162,2223,2283,2487,2868,2919,3126
   Marshall Islands,584,1158,1480,1891,2417,3089,3284,3298
   Micronesia (Fed. States of),583,3685,3342,3116,2905,2806,2756,2832
   Nauru,520,2815,2605,2394,2253,906,1833,2201
   Northern Mariana Islands*,580,26593,32376,40122,37542,24168,21648,21843
   Palau,585,2801,4749,6310,6043,5490,4937,5088
   American Samoa*,16,21283,23098,24912,24233,23555,23513,23608
   Cook Islands*,184,2587,2686,2785,3277,3769,4168,4579
   French Polynesia*,258,25830,28360,30329,32286,31640,30058,30081
   Niue*,570,461,480,498,522,589,588,588
   Samoa,882,3357,4694,5998,5746,5122,4255,4021
   Tokelau*,772,360,506,712,1003,1128,1185,1238
   Tonga,776,2911,3274,3684,4301,4607,3954,3742
   Tuvalu,798,318,263,218,209,220,230,239
   Wallis and Futuna Islands*,876,1402,1704,2015,2191,2111,2050,2040
