,"Region, subregion, country or area*",Notes,Location code,ISO3 Alpha-code,Code,Name,parent location code,Code,Code,Name,Code,Name,Code,Name,Code,Name,"More developed regions
901More developed regions
901More developed regions
901More developed regions
901More developed regions
901More developed regions
901More developed regions
901More developed regions
901More developed regions
901More developed regions
901More developed regions
901More developed regions
901More developed regions
901More developed regions
901More developed regions
901More developed regions
901More developed regions
901More developed regions
901","Less developed regions
902Less developed regions
902Less developed regions
902Less developed regions
902Less developed regions
902Less developed regions
902Less developed regions
902Less developed regions
902Less developed regions
902Less developed regions
902Less developed regions
902Less developed regions
902Less developed regions
902Less developed regions
902Less developed regions
902Less developed regions
902Less developed regions
902Less developed regions
902","Least developed countries
941Least developed countries
941Least developed countries
941Least developed countries
941Least developed countries
941Least developed countries
941Least developed countries
941Least developed countries
941Least developed countries
941Least developed countries
941Least developed countries
941Least developed countries
941Least developed countries
941Least developed countries
941Least developed countries
941Least developed countries
941Least developed countries
941Least developed countries
941","Less developed regions, excluding least developed countries
934Less developed regions, excluding least developed countries
934Less developed regions, excluding least developed countries
934Less developed regions, excluding least developed countries
934Less developed regions, excluding least developed countries
934Less developed regions, excluding least developed countries
934Less developed regions, excluding least developed countries
934Less developed regions, excluding least developed countries
934Less developed regions, excluding least developed countries
934Less developed regions, excluding least developed countries
934Less developed regions, excluding least developed countries
934Less developed regions, excluding least developed countries
934Less developed regions, excluding least developed countries
934Less developed regions, excluding least developed countries
934Less developed regions, excluding least developed countries
934Less developed regions, excluding least developed countries
934Less developed regions, excluding least developed countries
934Less developed regions, excluding least developed countries
934","Less developed regions, excluding China
948Less developed regions, excluding China
948Less developed regions, excluding China
948Less developed regions, excluding China
948Less developed regions, excluding China
948Less developed regions, excluding China
948Less developed regions, excluding China
948Less developed regions, excluding China
948Less developed regions, excluding China
948Less developed regions, excluding China
948Less developed regions, excluding China
948Less developed regions, excluding China
948Less developed regions, excluding China
948Less developed regions, excluding China
948Less developed regions, excluding China
948Less developed regions, excluding China
948Less developed regions, excluding China
948Less developed regions, excluding China
948","Land-Locked Developing Countries (LLDC)
1636Land-Locked Developing Countries (LLDC)
1636Land-Locked Developing Countries (LLDC)
1636Land-Locked Developing Countries (LLDC)
1636Land-Locked Developing Countries (LLDC)
1636Land-Locked Developing Countries (LLDC)
1636Land-Locked Developing Countries (LLDC)
1636Land-Locked Developing Countries (LLDC)
1636Land-Locked Developing Countries (LLDC)
1636Land-Locked Developing Countries (LLDC)
1636Land-Locked Developing Countries (LLDC)
1636Land-Locked Developing Countries (LLDC)
1636Land-Locked Developing Countries (LLDC)
1636Land-Locked Developing Countries (LLDC)
1636Land-Locked Developing Countries (LLDC)
1636Land-Locked Developing Countries (LLDC)
1636Land-Locked Developing Countries (LLDC)
1636Land-Locked Developing Countries (LLDC)
1636","Small Island Developing States (SIDS)
1637Small Island Developing States (SIDS)
1637Small Island Developing States (SIDS)
1637Small Island Developing States (SIDS)
1637Small Island Developing States (SIDS)
1637Small Island Developing States (SIDS)
1637Small Island Developing States (SIDS)
1637Small Island Developing States (SIDS)
1637Small Island Developing States (SIDS)
1637Small Island Developing States (SIDS)
1637Small Island Developing States (SIDS)
1637Small Island Developing States (SIDS)
1637Small Island Developing States (SIDS)
1637Small Island Developing States (SIDS)
1637Small Island Developing States (SIDS)
1637Small Island Developing States (SIDS)
1637Small Island Developing States (SIDS)
1637Small Island Developing States (SIDS)
1637","High-income Countries
1503High-income Countries
1503High-income Countries
1503High-income Countries
1503High-income Countries
1503High-income Countries
1503High-income Countries
1503High-income Countries
1503High-income Countries
1503High-income Countries
1503High-income Countries
1503High-income Countries
1503High-income Countries
1503High-income Countries
1503High-income Countries
1503High-income Countries
1503High-income Countries
1503High-income Countries
1503","Middle-income Countries
1517Middle-income Countries
1517Middle-income Countries
1517Middle-income Countries
1517Middle-income Countries
1517Middle-income Countries
1517Middle-income Countries
1517Middle-income Countries
1517Middle-income Countries
1517Middle-income Countries
1517Middle-income Countries
1517Middle-income Countries
1517Middle-income Countries
1517Middle-income Countries
1517Middle-income Countries
1517Middle-income Countries
1517Middle-income Countries
1517Middle-income Countries
1517","Upper-middle-income Countries
1502Upper-middle-income Countries
1502Upper-middle-income Countries
1502Upper-middle-income Countries
1502Upper-middle-income Countries
1502Upper-middle-income Countries
1502Upper-middle-income Countries
1502Upper-middle-income Countries
1502Upper-middle-income Countries
1502Upper-middle-income Countries
1502Upper-middle-income Countries
1502Upper-middle-income Countries
1502Upper-middle-income Countries
1502Upper-middle-income Countries
1502Upper-middle-income Countries
1502Upper-middle-income Countries
1502Upper-middle-income Countries
1502Upper-middle-income Countries
1502","Lower-middle-income Countries
1501Lower-middle-income Countries
1501Lower-middle-income Countries
1501Lower-middle-income Countries
1501Lower-middle-income Countries
1501Lower-middle-income Countries
1501Lower-middle-income Countries
1501Lower-middle-income Countries
1501Lower-middle-income Countries
1501Lower-middle-income Countries
1501Lower-middle-income Countries
1501Lower-middle-income Countries
1501Lower-middle-income Countries
1501Lower-middle-income Countries
1501Lower-middle-income Countries
1501Lower-middle-income Countries
1501Lower-middle-income Countries
1501Lower-middle-income Countries
1501","Low-income Countries
1500Low-income Countries
1500Low-income Countries
1500Low-income Countries
1500Low-income Countries
1500Low-income Countries
1500Low-income Countries
1500Low-income Countries
1500Low-income Countries
1500Low-income Countries
1500Low-income Countries
1500Low-income Countries
1500Low-income Countries
1500Low-income Countries
1500Low-income Countries
1500Low-income Countries
1500Low-income Countries
1500Low-income Countries
1500","No income group available
1518No income group available
1518No income group available
1518No income group available
1518No income group available
1518No income group available
1518No income group available
1518No income group available
1518No income group available
1518No income group available
1518No income group available
1518No income group available
1518No income group available
1518No income group available
1518No income group available
1518No income group available
1518No income group available
1518No income group available
1518"
,WORLD,,900,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Sub-Saharan Africa,,947,,12,SDG region,1828,,,,,,,,,,,,,,,,,,,,,,
,  Northern Africa and Western Asia,,1833,,12,SDG region,1828,,,,,,,,,,,,,,,,,,,,,,
,  Central and Southern Asia,,921,,12,SDG region,1828,,,,,,,,,,,,,,,,,,,,,,
,  Eastern and South-Eastern Asia,,1832,,12,SDG region,1828,,,,,,,,,,,,,,,,,,,,,,
,  Latin America and the Caribbean,,1830,   ,12,SDG region,1828,,,,,,,,,,,,,,,,,,,,,,
,  Oceania (excluding Australia and New Zealand),,1835,,12,SDG region,1828,,,,,,,,,,,,,,,,,,,,,,
,  Australia and New Zealand,,927,   ,12,SDG region,1828,,,,,,,,,,,,,,,,,,,,,,
,  Europe and Northern America,,1829,,12,SDG region,1828,,,,,,,,,,,,,,,,,,,,,,
,  Developed regions,b,901,,5,Development group,1803,,,,,,,,,,,,,,,,,,,,,,
,  Less developed regions,c,902,,5,Development group,1803,,,,,,,,,,,,,,,,,,,,,,
," Less developed regions, excluding least developed countries",e,934,,5,Development group,902,,,,,,,,,,,,,,,,,,,,,,
," Less developed regions, excluding China",,948,,5,Development group,1803,,,,,,,,,,,,,,,,,,,,,,
,  Least developed countries,d,941,,5,Development group,902,,,,,,,,,,,,,,,,,,,,,,
,  Land-locked Developing Countries (LLDC),f,1636,,5,Development group,1803,,,,,,,,,,,,,,,,,,,,,,
,  Small island developing States (SIDS),g,1637,,5,Development group,1803,,,,,,,,,,,,,,,,,,,,,,
,  High-income countries,h,1503,,13,Income group,1802,,,,,,,,,,,,,,,,,,,,,,
,  Middle-income countries,h,1517,,13,Income group,1802,,,,,,,,,,,,,,,,,,,,,,
, Upper-middle-income countries,h,1502,,13,Income group,1517,,,,,,,,,,,,,,,,,,,,,,
, Lower-middle-income countries,h,1501,,13,Income group,1517,,,,,,,,,,,,,,,,,,,,,,
,  Low-income countries,h,1500,,13,Income group,1802,,,,,,,,,,,,,,,,,,,,,,
, AFRICA,j,903,,2,Geographic region,1840,,,,,,,,,,,,,,,,,,,,,,
,  Eastern Africa,,910,,3,Subregion,947,,,,,,,,,,,,,,,,,,,,,,
,   Burundi,,108,BDI,4,Country/Area,910,900,910,Eastern Africa,,,"947,0",Sub-Saharan Africa,903,Africa,,902,941,,948,1636,,,,,,1500,
,   Comoros,,174,COM,4,Country/Area,910,900,910,Eastern Africa,,,"947,0",Sub-Saharan Africa,903,Africa,,902,941,,948,,1637,,1517,,1501,,
,   Djibouti,,262,DJI,4,Country/Area,910,900,910,Eastern Africa,,,"947,0",Sub-Saharan Africa,903,Africa,,902,941,,948,,,,1517,,1501,,
,   Eritrea,,232,ERI,4,Country/Area,910,900,910,Eastern Africa,,,"947,0",Sub-Saharan Africa,903,Africa,,902,941,,948,,,,,,,1500,
,   Ethiopia,,231,ETH,4,Country/Area,910,900,910,Eastern Africa,,,"947,0",Sub-Saharan Africa,903,Africa,,902,941,,948,1636,,,,,,1500,
,   Kenya,,404,KEN,4,Country/Area,910,900,910,Eastern Africa,,,"947,0",Sub-Saharan Africa,903,Africa,,902,,934,948,,,,1517,,1501,,
,   Madagascar,,450,MDG,4,Country/Area,910,900,910,Eastern Africa,,,"947,0",Sub-Saharan Africa,903,Africa,,902,941,,948,,,,,,,1500,
,   Malawi,,454,MWI,4,Country/Area,910,900,910,Eastern Africa,,,"947,0",Sub-Saharan Africa,903,Africa,,902,941,,948,1636,,,,,,1500,
,   Mauritius*,1,480,MUS,4,Country/Area,910,900,910,Eastern Africa,,,"947,0",Sub-Saharan Africa,903,Africa,,902,,934,948,,1637,1503,,,,,
,   Mayotte*,2,175,MYT,4,Country/Area,910,900,910,Eastern Africa,,,"947,0",Sub-Saharan Africa,903,Africa,,902,,934,948,,,,,,,,1518
,   Mozambique,,508,MOZ,4,Country/Area,910,900,910,Eastern Africa,,,"947,0",Sub-Saharan Africa,903,Africa,,902,941,,948,,,,,,,1500,
,   Réunion*,2,638,REU,4,Country/Area,910,900,910,Eastern Africa,,,"947,0",Sub-Saharan Africa,903,Africa,,902,,934,948,,,,,,,,1518
,   Rwanda,,646,RWA,4,Country/Area,910,900,910,Eastern Africa,,,"947,0",Sub-Saharan Africa,903,Africa,,902,941,,948,1636,,,,,,1500,
,   Seychelles,,690,SYC,4,Country/Area,910,900,910,Eastern Africa,,,"947,0",Sub-Saharan Africa,903,Africa,,902,,934,948,,1637,1503,,,,,
,   Somalia,,706,SOM,4,Country/Area,910,900,910,Eastern Africa,,,"947,0",Sub-Saharan Africa,903,Africa,,902,941,,948,,,,,,,1500,
,   South Sudan,,728,SSD,4,Country/Area,910,900,910,Eastern Africa,,,"947,0",Sub-Saharan Africa,903,Africa,,902,941,,948,1636,,,,,,1500,
,   Uganda,,800,UGA,4,Country/Area,910,900,910,Eastern Africa,,,"947,0",Sub-Saharan Africa,903,Africa,,902,941,,948,1636,,,,,,1500,
,   United Republic of Tanzania*,3,834,TZA,4,Country/Area,910,900,910,Eastern Africa,,,"947,0",Sub-Saharan Africa,903,Africa,,902,941,,948,,,,1517,,1501,,
,   Zambia,,894,ZMB,4,Country/Area,910,900,910,Eastern Africa,,,"947,0",Sub-Saharan Africa,903,Africa,,902,941,,948,1636,,,1517,,1501,,
,   Zimbabwe,,716,ZWE,4,Country/Area,910,900,910,Eastern Africa,,,"947,0",Sub-Saharan Africa,903,Africa,,902,,934,948,1636,,,1517,,1501,,
,  Middle Africa,,911,   ,3,Subregion,947,,,,,,,,,,,,,,,,,,,,,,
,   Angola,,24,AGO,4,Country/Area,911,900,911,Middle Africa,,,"947,0",Sub-Saharan Africa,903,Africa,,902,941,,948,,,,1517,,1501,,
