Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],cod
afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,1.61359095573425,4.07457399368286,9.40915775299072,14.7385063171387,20.0649681091309,25.3908939361572,30.7186908721924,36.0510101318359,42.4000015258789,46.7400512695313,42.7000007629395,43.2220191955566,69.0999984741211,68.2906494140625,89.5,71.5,97.6999969482422,97.6999969482422,96.6161346435547,97.6999969482422,97.6999969482422,1
afghanistan,AFG,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11297466347.9073,14483632040.631,16267323504.6719,18225512193.1932,18502504965.1779,18834093829.3395,17785739175.8072,16937442592.6735,17641172246.3335,16815188084.6708,17645416937.3793,18515111650.4997,1
afghanistan,AFG,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1
afghanistan,AFG,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1
afghanistan,AFG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,162.8354,163.3822,163.929,164.1888,164.4486,164.7084,164.9682,165.228,161.469,157.71,153.951,150.192,146.433,143.7648,141.0966,138.4284,135.7602,133.092,126.633,120.174,113.715,107.256,100.797,94.429,88.061,81.693,75.325,68.957,65.141,61.325,57.509,1
afghanistan,AFG,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1
afghanistan,AFG,"Children out of school, primary",SE.PRM.UNER,..,..,..,1979198,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1
afghanistan,AFG,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,..,..,..,..,..,..,..,..,..,..,59.8146503168484,..,..,..,..,..,..,..,..,..,48.1499135188659,..,..,..,..,39.3909806318543,..,..,..,32.9304513537869,..,1
afghanistan,AFG,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,..,..,..,..,..,..,..,..,..,..,32.0097632220991,..,..,..,..,..,..,..,..,..,40.8191640676136,..,..,..,..,44.2190527205372,..,..,..,49.7810848710223,..,1
afghanistan,AFG,"Condom use, population ages 15-24, male (% of males ages 15-24)",SH.CON.1524.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1
afghanistan,AFG,"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1
afghanistan,AFG,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72,75.2,67.4,84.6,59.5,30.2,26.7,25.8,22.5,14.4,15.1,19,19.9,82.3,6.4,6.8,..,1
afghanistan,AFG,"Cost of business start-up procedures, female (% of GNI per capita)",IC.REG.COST.PC.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72,75.2,67.4,84.6,59.5,30.2,26.7,25.8,22.5,14.4,15.1,19,19.9,82.3,6.4,6.8,..,1
afghanistan,AFG,"Cost of business start-up procedures, male (% of GNI per capita)",IC.REG.COST.PC.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72,75.2,67.4,84.6,59.5,30.2,26.7,25.8,22.5,14.4,15.1,19,19.9,82.3,6.4,6.8,..,1
afghanistan,AFG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,18.449,17.946,17.222,14.838,14.689,14.092,13.627,13.334,13.565,12.463,12.096,11.713,11.28,10.698,10.277,9.941,9.679,9.359,8.832,8.535,8.254,7.931,7.711,7.478,7.395,7.331,7.077,7.027,6.981,6.791,7.113,1
afghanistan,AFG,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.84285686566253,6.83998223656721,9.38832772083979,10.58413068423,11.5750442390122,4.95918037606027,4.17944854276306,4.10825623711864,3.73272021162013,3.78980675535297,3.77581257666065,3.71038110758839,3.44212677085205,3.1735454944513,2.97036588832172,1
afghanistan,AFG,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.84285686566253,6.83998223656721,9.38832772083979,10.58413068423,11.5750442390122,4.95918037606027,4.47210362973721,4.3216854169302,3.94105709996345,3.98149379462535,3.88832174612488,3.84188120492596,3.51231703339133,3.22995723026215,3.07193594636071,1
afghanistan,AFG,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,..,..,..,..,..,..,..,..,..,..,..,..,13.49204723,14.66252735,17.25441753,18.86634996,21.38543832,24.44519073,28.73069622,30.36549678,35.54101566,37.25279732,38.31590145,39.65127422,43.1095203,46.17228869,45.72794863,49.59757036,53.42270666,52.24943995,..,1
afghanistan,AFG,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,..,..,..,..,..,..,..,..,..,..,..,..,0.14087316,1.24027791,1.12990194,1.27081888,1.30457162,1.76791153,2.33226259,2.26027417,2.4630628,2.85096025,2.233482,2.77086252,2.92699537,3.04678667,3.05628788,3.34826009,2.72140895,5.38899046,..,1
afghanistan,AFG,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.05929016894999,..,..,..,..,..,..,..,..,..,..,..,1
afghanistan,AFG,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39.25519,38.93563,37.13062,44.20343,44.06497,..,1
afghanistan,AFG,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1
afghanistan,AFG,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1
afghanistan,AFG,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1
afghanistan,AFG,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.MS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1
afghanistan,AFG,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.DO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1
afghanistan,AFG,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,..,0.400000005960464,0.400000005960464,0.400000005960464,0.389999985694885,0.400000005960464,0.400000005960464,0.400000005960464,0.400000005960464,0.400000005960464,0.389999985694885,0.389999985694885,0.400000005960464,0.409999996423721,0.419999986886978,0.430000007152557,0.439999997615814,0.469999998807907,0.490000009536743,0.600000023841858,0.740000009536743,0.889999985694885,1.07000005245209,1.27999997138977,1.53999996185303,1.8400000333786,2.19000005722046,2.61999988555908,2.72000002861023,2.82999992370605,..,1
afghanistan,AFG,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,..,63.4300003051758,63.6500015258789,64.4100036621094,64.4400024414063,64.3000030517578,64.6800003051758,64.9800033569336,65.1999969482422,65.4599990844727,65.8399963378906,66.2900009155273,64.4199981689453,63.7000007629395,63.2700004577637,62.1500015258789,61.2799987792969,60.1399993896484,59.2900009155273,56.8899993896484,54.5800018310547,53.560001373291,51.4000015258789,49.8199996948242,48.4099998474121,47.0699996948242,45.810001373291,43.9900016784668,43.1300010681152,42.5,..,1
afghanistan,AFG,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,..,12.4300003051758,12.210000038147,11.5699996948242,11.4799995422363,11.5100002288818,11.0799999237061,10.6899995803833,10.3299999237061,9.94999980926514,9.47999954223633,8.97999954223633,9.98999977111816,10.3500003814697,10.6099996566772,11.3299999237061,11.789999961853,12.1999998092651,12.4799995422363,13.6300001144409,14.6599998474121,14.75,15.7700004577637,16.3299999237061,16.7700004577637,17.1700000762939,17.3199996948242,18.0300006866455,18.4599990844727,18.5499992370605,..,1
afghanistan,AFG,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,..,24.1399993896484,24.1399993896484,24.0300006866455,24.0799999237061,24.1900005340576,24.2399997711182,24.3299999237061,24.4599990844727,24.5900001525879,24.6800003051758,24.7199993133545,25.5900001525879,25.9500007629395,26.1200008392334,26.5300006866455,26.9300003051758,27.6599998474121,28.2299995422363,29.4799995422363,30.7700004577637,31.6900005340576,32.8300018310547,33.8499984741211,34.8199996948242,35.7599983215332,36.8699989318848,37.9900016784668,38.4099998474121,38.9599990844727,..,1
afghanistan,AFG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,..,41.867000579834,41.7890014648438,41.814998626709,41.7789993286133,41.5320014953613,41.5789985656738,41.6240005493164,41.5979995727539,41.5989990234375,41.6180000305176,41.6969985961914,41.5779991149902,41.7200012207031,41.8699989318848,41.8279991149902,41.7799987792969,41.5880012512207,41.6059989929199,41.4519996643066,41.4140014648438,41.6500015258789,41.6339988708496,41.765998840332,41.8520011901855,41.9210014343262,41.9690017700195,42.0209999084473,42.0929985046387,42.1189994812012,36.7109985351563,1
afghanistan,AFG,Firms offering formal training (% of firms),IC.FRM.TRNG.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.6,..,..,..,..,..,31.7,..,..,..,..,..,..,1
