Unnamed: 0,Country Name,Country Code,Series Name,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],cod
1030,australia,aus,access to electricity (% of population),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,11
1031,australia,aus,adjusted net national income (current us$),241443523799.829,253319350954.728,253423214179.511,246897847908.26,257911578915.853,289157193362.619,317128635780.505,344739488320.261,317551693579.646,309451774811.416,326827556451.945,299781651229.175,315331321203.645,373928941162.206,490061111582.792,541251226787.826,576695257963.615,651610677277.619,801288562435.315,723505793425.478,885867961880.707,1078030136128.25,1213570395908.19,1245098361202.31,1142429849511.53,1054276443176.61,944781722944.122,1032978365491.65,1098286048022.09,1073529444765.3,1031357476918.74,11
1032,australia,aus,adjusted net national income per capita (annual % growth),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
1033,australia,aus,adjusted savings: gross savings (% of gni),25.19036584,21.55648891,18.91798774,20.73196062,22.22046448,21.38794716,21.6803056,22.5893558,22.34804952,21.32709236,21.85811011,21.37679365,22.41533877,21.71214918,22.1721898,21.80964641,22.60986016,22.41566653,22.89164027,24.94539837,22.75162912,24.3115681,25.14170594,24.58845708,24.30342107,23.17352013,21.21821891,22.41241032,22.4413726,23.27337379,24.57498917,11
1034,australia,aus,"adolescent fertility rate (births per 1,000 women ages 15-19)",20.965,20.92,20.875,20.5906,20.3062,20.0218,19.7374,19.453,18.9462,18.4394,17.9326,17.4258,16.919,16.9552,16.9914,17.0276,17.0638,17.1,16.1404,15.1808,14.2212,13.2616,12.302,12.1846,12.0672,11.9498,11.8324,11.715,11.3258,10.9366,10.5474,11
1035,australia,aus,adolescents out of school (% of lower secondary school age),0.0,0.0,0.0,1.02070999145508,1.45996999740601,1.59851002693176,0.827610015869141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.616469979286194,0.421920001506805,0.169729992747307,1.09826004505157,1.88276994228363,2.45424008369446,1.97146999835968,2.02185988426209,11
1036,australia,aus,"children out of school, primary",30144.0,39520.0,43555.0,50321.0,55241.0,90586.0,83683.0,92003.0,94207.0,102095.0,104354.0,32273.0,31396.0,47806.0,39973.0,25452.0,21617.0,18579.0,16931.0,13008.0,9666.0,44871.0,39575.0,1212.0,1742.0,1861.0,955.0,7031.0,9614.0,15542.0,33364.0,11
1037,australia,aus,"cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36979318252036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.95449604319344,0.0,0.0,0.0,0.0,4.56955742794355,0.0,0.0,0.0,4.94105432186094,0.0,11
1038,australia,aus,"cause of death, by non-communicable diseases (% of total)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.7690707850361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.4568900838594,0.0,0.0,0.0,0.0,89.5734193050277,0.0,0.0,0.0,89.1143536670652,0.0,11
1039,australia,aus,"condom use, population ages 15-24, male (% of males ages 15-24)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
