Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2020 [YR2020]
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Afghanistan,AFG,500,890,1600,2800,4200,6600,9600
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Albania,ALB,100,100,200,500,750,1100,1400
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Algeria,DZA,500,1000,2100,3700,5800,11000,18000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,American Samoa,ASM,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Andorra,AND,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Angola,AGO,13000,39000,89000,150000,220000,260000,280000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Argentina,ARG,15000,42000,62000,81000,99000,120000,140000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Armenia,ARM,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Aruba,ABW,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Australia,AUS,10000,9400,11000,16000,21000,26000,29000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Austria,AUT,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Azerbaijan,AZE,100,500,2500,8700,11000,10000,9900
Adults (ages 15+) living with HIV,SH.DYN.AIDS,"Bahamas, The",BHS,2200,3600,3800,4000,4400,4400,4400
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Bahrain,BHR,200,200,200,500,500,500,500
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Bangladesh,BGD,100,200,890,3700,6900,10000,14000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Barbados,BRB,500,780,1200,1700,2100,2300,2300
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Belarus,BLR,100,500,1700,5700,13000,22000,27000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Belgium,BEL,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Belize,BLZ,500,510,1300,2700,3000,3100,3300
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Benin,BEN,13000,34000,50000,53000,56000,61000,62000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Bermuda,BMU,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Bhutan,BTN,100,200,500,920,1100,1200,1300
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Bolivia,BOL,2100,6200,15000,17000,18000,20000,24000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Botswana,BWA,42000,160000,250000,270000,310000,340000,360000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Brazil,BRA,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,British Virgin Islands,VGB,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Brunei Darussalam,BRN,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Bulgaria,BGR,660,950,1200,1600,2000,2500,3100
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Burkina Faso,BFA,110000,130000,120000,95000,89000,86000,83000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Burundi,BDI,110000,130000,110000,84000,74000,72000,72000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Cabo Verde,CPV,550,1200,1400,1500,1800,2100,2500
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Cambodia,KHM,500,30000,81000,79000,78000,75000,72000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Cameroon,CMR,45000,170000,360000,440000,460000,470000,460000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Canada,CAN,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Cayman Islands,CYM,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Central African Republic,CAF,55000,120000,140000,130000,110000,86000,78000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Chad,TCD,30000,66000,85000,86000,90000,98000,100000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Channel Islands,CHI,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Chile,CHL,2600,10000,18000,27000,39000,54000,79000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,China,CHN,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Colombia,COL,12000,47000,80000,96000,110000,130000,160000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Comoros,COM,100,100,100,100,200,200,200
Adults (ages 15+) living with HIV,SH.DYN.AIDS,"Congo, Dem. Rep.",COD,390000,540000,550000,520000,480000,460000,470000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,"Congo, Rep.",COG,50000,66000,70000,71000,80000,92000,110000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Costa Rica,CRI,1700,2700,3900,5900,8500,12000,16000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Cote d'Ivoire,CIV,260000,560000,630000,520000,440000,400000,370000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Croatia,HRV,200,500,500,770,1100,1400,1700
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Cuba,CUB,6100,8800,12000,15000,20000,27000,34000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Curacao,CUW,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Cyprus,CYP,200,500,500,500,640,1100,1300
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Czechia,CZE,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Denmark,DNK,2000,3000,3900,4700,5500,6300,6700
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Djibouti,DJI,500,3600,13000,13000,10000,7400,6100
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Dominica,DMA,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Dominican Republic,DOM,14000,46000,69000,72000,72000,73000,76000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Ecuador,ECU,3300,9800,19000,25000,29000,36000,45000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,"Egypt, Arab Rep.",EGY,500,620,1500,3200,6700,14000,26000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,El Salvador,SLV,2300,8600,15000,19000,21000,23000,24000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Equatorial Guinea,GNQ,1700,5200,11000,19000,32000,47000,61000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Eritrea,ERI,8600,15000,18000,18000,15000,13000,12000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Estonia,EST,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Eswatini,SWZ,4100,57000,120000,140000,170000,190000,210000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Ethiopia,ETH,320000,680000,700000,580000,540000,570000,570000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Faroe Islands,FRO,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Fiji,FJI,100,100,200,500,500,760,1200
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Finland,FIN,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,France,FRA,41000,57000,78000,110000,140000,160000,190000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,French Polynesia,PYF,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Gabon,GAB,5800,20000,35000,39000,43000,46000,45000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,"Gambia, The",GMB,590,3500,9800,15000,18000,22000,24000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Georgia,GEO,100,100,200,1000,2900,5300,7600
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Germany,DEU,..,..,..,..,64000,78000,91000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Ghana,GHA,100000,210000,260000,260000,260000,280000,310000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Gibraltar,GIB,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Greece,GRC,2600,3400,4400,6400,10000,14000,16000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Greenland,GRL,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Grenada,GRD,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Guam,GUM,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Guatemala,GTM,5000,17000,29000,33000,32000,29000,28000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Guinea,GIN,18000,43000,66000,76000,87000,99000,110000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Guinea-Bissau,GNB,1800,7900,18000,26000,31000,35000,36000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Guyana,GUY,200,770,3000,4800,6500,7700,9000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Haiti,HTI,78000,120000,130000,120000,120000,130000,140000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Honduras,HND,9100,23000,31000,28000,24000,22000,21000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Hungary,HUN,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Iceland,ISL,100,100,100,200,200,500,500
Adults (ages 15+) living with HIV,SH.DYN.AIDS,India,IND,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Indonesia,IDN,200,4500,40000,210000,400000,500000,530000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,"Iran, Islamic Rep.",IRN,670,2100,15000,53000,71000,63000,53000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Iraq,IRQ,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Ireland,IRL,600,850,1500,2900,4600,6200,8400
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Isle of Man,IMN,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Israel,ISR,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Italy,ITA,51000,60000,73000,96000,120000,130000,140000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Jamaica,JAM,15000,22000,23000,23000,25000,27000,29000
