Index,Year,"Region, development group, country or area",Notes,Location code,Type of data,0-4,5-9,10-14, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total
1,1990,WORLD,,900,,2 476 298,3 284 970,4 000 045,4 924 353,6 434 147,7 942 542,8 293 968,7 789 458,6 922 877,5 678 707,4 632 035,3 857 470,3 293 280,2 540 798,1 981 709,3 510 810,77 563 467
2,1995,WORLD,,900,,2 354 445,3 153 537,3 887 731,4 801 711,6 475 181,8 153 077,8 811 070,8 478 976,7 519 782,6 393 284,5 223 117,4 276 902,3 513 851,2 696 095,2 213 175,3 629 567,81 581 501
3,2000,WORLD,,900,,2 392 576,3 115 655,3 877 901,4 910 941,6 817 436,8 559 073,9 261 159,9 317 190,8 382 393,7 112 038,6 000 204,4 671 519,3 860 302,2 907 096,2 464 430,4 069 920,87 719 833
4,2005,WORLD,,900,,2 520 983,3 363 157,4 171 355,5 522 578,7 601 839,9 835 576,10 539 334,10 219 738,9 350 286,8 075 320,6 686 447,5 488 808,4 288 733,3 249 866,2 606 555,4 142 506,97 663 081
5,2010,WORLD,,900,,2 935 031,3 728 826,4 332 848,5 705 761,8 825 410,12 067 543,12 882 330,12 383 495,10 983 507,9 637 162,7 890 007,6 247 346,5 130 699,3 687 302,2 908 010,4 595 604,113 940 881
6,2015,WORLD,,900,,3 579 554,4 125 266,4 408 277,5 614 439,9 114 542,13 139 702,14 685 736,14 090 272,12 690 563,10 915 101,9 306 888,7 463 903,5 898 179,4 599 558,3 400 387,5 205 691,128 238 058
7,2020,WORLD,,900,,4 237 565,5 148 784,5 288 849,6 461 852,10 118 188,14 159 198,16 050 261,15 753 005,14 253 606,12 592 956,10 669 236,8 792 385,6 859 059,5 169 015,3 846 137,6 255 748,145 655 844
162,1990,   Burundi,,108,B R, 10 991, 11 291, 9 873, 9 336, 12 216, 17 726, 21 979, 18 817, 14 065, 9 939, 8 104, 6 103, 5 126, 3 852, 1 541, 2 308, 163 267
163,1995,   Burundi,,108,B R, 8 358, 8 585, 7 506, 7 095, 9 280, 13 470, 16 717, 14 318, 10 702, 7 562, 6 167, 4 646, 3 901, 2 930, 1 173, 1 755, 124 165
164,2000,   Burundi,,108,B R, 2 582, 4 049, 4 363, 4 817, 6 219, 7 261, 7 510, 6 686, 4 813, 3 562, 2 395, 2 241, 1 495, 1 254, 1 158,  689, 61 094
165,2005,   Burundi,,108,B R, 9 916, 6 543, 8 017, 6 809, 7 181, 9 618, 10 851, 9 889, 7 582, 5 546, 3 727, 2 773, 1 960, 1 626, 1 400,  975, 94 413
166,2010,   Burundi,,108,B R, 12 511, 7 194, 5 701, 8 349, 10 180, 12 167, 13 364, 12 940, 10 896, 8 664, 6 500, 4 422, 3 168, 2 205, 1 630, 1 871, 121 762
167,2015,   Burundi,,108,B R, 15 022, 9 361, 6 333, 7 429, 13 352, 16 949, 16 265, 14 521, 12 634, 10 466, 7 983, 5 801, 4 044, 2 793, 1 858, 2 159, 146 970
168,2020,   Burundi,,108,B R, 17 396, 12 689, 9 238, 8 760, 12 706, 19 058, 19 286, 16 426, 13 801, 11 710, 9 269, 6 847, 4 901, 3 343, 2 231, 2 464, 170 125
169,1990,   Comoros,,174,B,  247,  352,  446,  516,  577,  758,  819,  777,  630,  504,  401,  272,  185,  116,  47,  70, 6 717
170,1995,   Comoros,,174,B,  245,  345,  441,  504,  566,  730,  793,  758,  624,  489,  406,  290,  191,  116,  46,  70, 6 614
171,2000,   Comoros,,174,B,  243,  338,  435,  492,  555,  703,  767,  739,  618,  474,  412,  308,  197,  115,  46,  69, 6 511
172,2005,   Comoros,,174,B,  222,  322,  402,  457,  544,  655,  710,  698,  609,  494,  409,  307,  206,  125,  51,  75, 6 286
173,2010,   Comoros,,174,B,  200,  306,  367,  422,  535,  607,  652,  658,  601,  516,  406,  306,  216,  134,  54,  80, 6 060
174,2015,   Comoros,,174,B,  198,  283,  351,  409,  511,  589,  639,  656,  611,  534,  428,  325,  233,  151,  61,  92, 6 071
175,2020,   Comoros,,174,B,  136,  183,  268,  364,  521,  626,  620,  620,  630,  561,  481,  379,  278,  185,  117,  75, 6 044
176,1990,   Djibouti,,262,B R, 3 529, 4 421, 6 437, 8 527, 9 079, 8 926, 6 765, 4 719, 2 826, 2 311, 2 041, 1 769, 1 387,  669,  334,  502, 64 242
177,1995,   Djibouti,,262,B R, 2 871, 3 496, 4 653, 5 964, 6 492, 6 869, 5 853, 4 731, 3 192, 2 334, 1 822, 1 594, 1 250,  602,  302,  451, 52 476
178,2000,   Djibouti,,262,B R, 2 880, 3 397, 4 021, 4 908, 5 525, 6 461, 6 268, 5 743, 4 199, 2 849, 2 008, 1 771, 1 389,  667,  334,  500, 52 920
179,2005,   Djibouti,,262,B R, 2 657, 3 427, 4 164, 4 883, 5 359, 5 879, 5 673, 5 196, 4 074, 2 937, 2 208, 1 846, 1 447,  702,  352,  527, 51 331
180,2010,   Djibouti,,262,B R, 2 764, 3 813, 4 641, 5 104, 5 327, 5 523, 5 396, 5 126, 4 387, 3 352, 2 654, 2 122, 1 665,  797,  400,  598, 53 669
181,2015,   Djibouti,,262,B R, 3 306, 3 908, 4 789, 5 329, 5 638, 6 008, 5 965, 5 813, 5 021, 3 888, 3 052, 2 421, 1 898,  908,  455,  682, 59 081
182,2020,   Djibouti,,262,B R, 2 443, 3 308, 3 768, 4 591, 6 159, 7 440, 7 090, 6 760, 5 986, 4 481, 3 336, 2 614, 2 105, 1 463,  738,  581, 62 863
183,1990,   Eritrea,,232,I R,  385,  335,  437,  612,  801,  884,  791,  623,  424,  277,  195,  175,  139,  78,  31,  41, 6 228
184,1995,   Eritrea,,232,I R,  382,  333,  482,  623,  776,  856,  802,  670,  495,  357,  256,  205,  152,  79,  32,  42, 6 542
185,2000,   Eritrea,,232,I R,  378,  330,  528,  633,  750,  828,  812,  717,  566,  436,  317,  237,  171,  80,  32,  41, 6 856
186,2005,   Eritrea,,232,I R,  530,  482,  667,  827,  944,  999,  958,  829,  673,  529,  409,  318,  230,  108,  43,  57, 8 603
187,2010,   Eritrea,,232,I R,  578,  541,  676,  862,  953,  975,  916,  780,  650,  517,  422,  340,  246,  115,  46,  62, 8 679
188,2015,   Eritrea,,232,I R,  598,  553,  654,  830,  941,  979,  935,  812,  681,  549,  445,  359,  260,  122,  49,  66, 8 833
189,2020,   Eritrea,,232,I R,  465,  355,  584,  873,  910,  928,  864,  729,  594,  478,  384,  297,  212,  84,  20,  38, 7 815
190,1990,   Ethiopia,,231,B R, 41 272, 44 185, 54 443, 71 389, 77 813, 74 627, 61 130, 46 834, 34 803, 26 075, 20 367, 16 729, 14 741, 11 439, 4 576, 6 861, 607 284
191,1995,   Ethiopia,,231,B R, 27 784, 29 876, 35 990, 45 978, 50 888, 51 300, 44 335, 35 622, 27 028, 20 446, 15 827, 12 721, 10 905, 7 711, 3 085, 4 621, 424 117
192,2000,   Ethiopia,,231,B R, 19 737, 21 403, 24 667, 29 825, 34 115, 37 899, 35 844, 30 898, 24 117, 18 476, 14 135, 11 029, 9 088, 5 496, 2 200, 3 290, 322 219
193,2005,   Ethiopia,,231,B R, 15 838, 18 556, 22 014, 26 019, 29 212, 30 440, 28 553, 24 474, 19 786, 15 538, 12 282, 9 818, 8 300, 4 504, 1 803, 2 697, 269 834
194,2010,   Ethiopia,,231,B R, 16 636, 21 281, 26 003, 30 035, 33 066, 32 020, 29 726, 25 296, 21 347, 17 245, 14 116, 11 566, 10 034, 4 852, 1 941, 2 905, 298 069
195,2015,   Ethiopia,,231,B R, 69 203, 82 063, 81 835, 50 611, 46 585, 47 241, 45 522, 40 616, 35 328, 29 271, 23 233, 17 729, 11 417, 5 273, 2 324, 3 158, 591 409
196,2020,   Ethiopia,,231,B R, 55 584, 69 492, 71 676, 48 580, 48 041, 47 866, 44 924, 38 871, 32 991, 26 945, 20 958, 15 485, 9 278, 3 402, 1 008, 1 706, 536 807
197,1990,   Kenya,,404,B R, 9 457, 11 407, 14 787, 22 712, 17 929, 17 553, 14 551, 11 945, 9 202, 7 860, 6 357, 5 102, 4 126, 3 227, 2 329, 2 715, 161 259
198,1995,   Kenya,,404,B R, 26 073, 34 429, 31 334, 31 601, 38 437, 33 460, 30 187, 23 512, 19 420, 13 996, 11 406, 9 607, 6 462, 4 846, 3 670, 3 749, 322 189
199,2000,   Kenya,,404,B R, 23 487, 30 525, 28 946, 32 020, 36 906, 44 319, 36 648, 31 052, 23 014, 18 846, 12 696, 12 005, 7 653, 5 731, 4 855, 4 230, 352 933
200,2005,   Kenya,,404,B R, 26 529, 35 512, 32 970, 34 172, 36 906, 41 974, 45 747, 36 474, 30 200, 22 648, 17 974, 12 702, 9 578, 6 332, 5 027, 5 619, 400 364
201,2010,   Kenya,,404,B R, 34 930, 44 397, 40 757, 39 834, 37 972, 43 420, 46 418, 47 737, 37 331, 30 512, 22 544, 17 552, 9 740, 7 808, 5 321, 6 820, 473 093
202,2015,   Kenya,,404,B R, 48 734, 59 129, 49 289, 47 764, 44 338, 46 557, 47 086, 47 071, 48 038, 37 290, 29 818, 22 220, 13 788, 7 784, 6 571, 7 432, 562 909
203,2020,   Kenya,,404,B R, 42 028, 51 066, 41 930, 39 307, 40 402, 45 493, 43 914, 42 150, 42 431, 43 439, 32 698, 25 795, 15 516, 10 193, 5 824, 7 789, 529 975
204,1990,   Madagascar,,450,C R,  466,  500,  474,  663,  949,  890,  776,  767,  927, 1 200, 1 325, 1 256,  993,  702,  708,  752, 13 348
205,1995,   Madagascar,,450,C R,  470,  478,  449,  388,  809,  865,  732,  668,  706,  952, 1 182, 1 163, 1 067,  692,  564,  716, 11 901
206,2000,   Madagascar,,450,C R,  512,  535,  528,  483,  671,  957,  901,  795,  778,  932, 1 199, 1 317, 1 246,  983,  695,  744, 13 276
