country_name,country_code,serie_name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,afg,access to electricity (% of population),0.00999999977648258,0.00999999977648258,0.00999999977648258,0.00999999977648258,0.00999999977648258,0.00999999977648258,0.00999999977648258,0.00999999977648258,0.0219771377742291,0.179634585976601,0.959755897521973,0.77653694152832,6.26739358901977,11.7519664764404,17.2363185882568,23,28.2286128997803,33.7486801147461,42.4,44.8548851013184,42.7,43.2220189082037,69.1,67.2595520019531,89.5,71.5,84.1371383666992
Afghanistan,afg,"adolescent fertility rate (births per 1,000 women ages 15-19)",162.8354,163.3822,163.929,164.1888,164.4486,164.7084,164.9682,165.228,161.469,157.71,153.951,150.192,146.433,140.6256,134.8182,129.0108,123.2034,117.396,111.1414,104.8868,98.6322,92.3776,86.123,81.7908,77.4586,73.1264,68.7942
Afghanistan,afg,age dependency ratio (% of working-age population),101.018259850238,100.96564733016,100.870231727519,100.902317661547,100.887270633256,100.510118469483,101.294946055585,102.0432616212,102.595062024335,102.975878585677,103.326360073965,102.92777291639,102.153958897486,101.200485082543,100.159030259816,99.0118309442354,99.6320290466377,100.231023134586,100.656496083108,100.740812582094,100.406411520766,98.7307589652135,96.5285898367748,94.0017341230592,91.3762048564238,88.7687273393836,86.5709321507136
Afghanistan,afg,"agriculture, value added (% of gdp)",0,0,0,0,0,0,0,0,0,0,0,0,37.9388206159123,36.8630576799203,29.3911956273162,30.7879670650336,28.2897383137567,29.7989655280121,24.6938230129889,29.1359284351699,26.0782527819623,23.5779686892153,23.6436386470918,22.587453161034,22.009298022763,20.5469658803948,20.9658976104561
Afghanistan,afg,"agriculture, value added (annual % growth)",0,0,0,0,0,0,0,0,0,0,0,0,0,2.79922332379998,-22.2374972096684,17.6995562384091,-5.10828004564108,14.6947633410373,-14.9167175639132,44.5654473278869,-6.37380492600464,-7.59086467916443,18.2247894194574,0.00517080272992132,-0.100457250332653,-5.65736076451711,5.97175068925613
Afghanistan,afg,"agriculture, value added (constant 2005 us$)",0,0,0,0,0,0,0,0,0,0,0,0,3524250083.91464,3622901714.25262,2817259046.63666,3315901395.97778,3146515866.63392,3608888926.72396,3070561158.32921,4438970474.01497,4156039155.27831,3840559846.98805,4540493791.62985,4540728571.60678,4536167080.53868,4279539743.91134,4535103188.06536
Afghanistan,afg,"air transport, registered carrier departures worldwide",5300,5300,5300,5100,7000,7300,7500,4600,1900,3400,3409,0,0,0,0,0,0,0,0,0,21677,25021,17775,21696,25920,23532,22770.0
Afghanistan,afg,"automated teller machines (atms) (per 100,000 adults)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158998816253813,0.0608522587027287,0.118134127568762,0.20881807028053,0.30244953172372,0.452438933768698,0.532063581331937,0.620062869261023,0.642222417403469,0.712434094736566,0.758811362173521,0.929836662967983,1.07421538203442
Afghanistan,afg,"borrowers from commercial banks (per 1,000 adults)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37976801136197,3.98351915777259,3.80232587604102,3.66597788548973,4.13750263311191,3.76912673858008,3.0250349722766,2.95869751045318,3.05195383587665
Afghanistan,afg,consumer price index (2010 = 100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.1318927309003,71.1409742918197,76.3021776776999,82.7748069188245,108.066600010077,99.1153588128686,100,110.201660141582,118.156300027034,127.200357275341,133.057086584945,132.117655626068,137.904563672559
Afghanistan,afg,"contributing family workers, female (% of female employment) (modeled ilo estimate)",0,49.4230003356934,51.1469993591309,60.9059982299805,67.7409973144531,61.0250015258789,63.2309989929199,65.4759979248047,67.5370025634766,69.4990005493164,71.4240036010742,73.4860000610352,65.6699981689453,65.640998840332,67.1360015869141,66.0830001831055,65.818000793457,64.0849990844727,64.2429962158203,59.8839988708496,58.7719993591309,58.2750015258789,56.298999786377,56.4939994812012,57.023998260498,57.882999420166,58.0439987182617
Afghanistan,afg,"contributing family workers, male (% of male employment) (modeled ilo estimate)",0,20.3530006408691,22.1450004577637,24.1599998474121,28.4379997253418,30.5149993896484,26.7329998016357,27.7469997406006,28.6620006561279,29.4969997406006,30.3470001220703,31.2970008850098,32.0190010070801,26.6070003509521,25.9829998016357,26.1499996185303,25.2049999237061,24.6270008087158,23.4890003204346,23.2399997711182,21.4340000152588,20.8759994506836,20.238000869751,19.6849994659424,19.625,19.6340007781982,19.7749996185303
